date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Columbus,OH,-11.576399,-5.1937637,-14.807724,2.458525,,
2000-01-02 00:00:00+00:00,Columbus,OH,-4.5971885,1.6398689,-11.431654,0.0,,
2000-01-03 00:00:00+00:00,Columbus,OH,-0.086938225,4.2534237,-3.7231548,0.0,,
2000-01-04 00:00:00+00:00,Columbus,OH,-1.7766875,0.46697918,-3.3146567,0.0,,
2000-01-05 00:00:00+00:00,Columbus,OH,-5.0164375,0.53053445,-9.656159,0.12170851,,
2000-01-06 00:00:00+00:00,Columbus,OH,1.1938123,6.6940894,-1.947661,0.485355,,
2000-01-07 00:00:00+00:00,Columbus,OH,-0.29593787,6.2576447,-5.4891634,0.36291724,,
2000-01-08 00:00:00+00:00,Columbus,OH,-7.2356877,-3.6787994,-11.330666,0.0,,
2000-01-09 00:00:00+00:00,Columbus,OH,-4.075438,0.4847552,-6.8221674,2.525243,,
2000-01-10 00:00:00+00:00,Columbus,OH,-1.9151877,5.44831,-7.263669,1.4387187,,
2000-01-11 00:00:00+00:00,Columbus,OH,5.2950625,10.011866,0.39482918,33.11257,,
2000-01-12 00:00:00+00:00,Columbus,OH,-5.694688,1.2254199,-8.396673,0.23837982,,
2000-01-13 00:00:00+00:00,Columbus,OH,-8.984438,-4.6110244,-12.388175,0.0,,
2000-01-14 00:00:00+00:00,Columbus,OH,-6.5741873,-4.74747,-8.829678,0.0,,
2000-01-15 00:00:00+00:00,Columbus,OH,-13.713937,-7.9839153,-17.17118,1.4178991,,
2000-01-16 00:00:00+00:00,Columbus,OH,-9.353687,-5.620359,-11.912682,0.0,,
2000-01-17 00:00:00+00:00,Columbus,OH,-5.7934375,1.0431958,-10.104183,0.0,,
2000-01-18 00:00:00+00:00,Columbus,OH,-11.333187,-0.3432487,-21.245686,0.93722916,,
2000-01-19 00:00:00+00:00,Columbus,OH,-18.322937,-7.829694,-23.93719,0.0,,
2000-01-20 00:00:00+00:00,Columbus,OH,-2.662687,4.6838617,-8.97869,0.0,,
2000-01-21 00:00:00+00:00,Columbus,OH,-3.2024367,2.6974168,-6.020192,0.3485251,,
2000-01-22 00:00:00+00:00,Columbus,OH,-2.5921872,3.560972,-6.4116945,0.0,,
2000-01-23 00:00:00+00:00,Columbus,OH,-1.8819374,4.7745266,-7.2031965,0.34660968,,
2000-01-24 00:00:00+00:00,Columbus,OH,4.3783126,7.788082,2.0553017,0.0,,
2000-01-25 00:00:00+00:00,Columbus,OH,3.538563,10.001637,-1.8862008,0.22981782,,
2000-01-26 00:00:00+00:00,Columbus,OH,7.198813,11.715193,3.3222973,4.9277596,,
2000-01-27 00:00:00+00:00,Columbus,OH,-1.8909372,4.428746,-5.069205,0.4571673,,
2000-01-28 00:00:00+00:00,Columbus,OH,1.1693133,7.392303,-3.5107062,1.3678458,,
2000-01-29 00:00:00+00:00,Columbus,OH,5.4295626,7.1558576,3.3977911,0.5684251,,
2000-01-30 00:00:00+00:00,Columbus,OH,2.989813,9.269413,0.15628925,18.708588,,
2000-01-31 00:00:00+00:00,Columbus,OH,10.700063,17.732967,3.664787,31.890884,,
2000-02-01 00:00:00+00:00,Columbus,OH,-6.289687,4.5465226,-13.026716,0.0,,
2000-02-02 00:00:00+00:00,Columbus,OH,-14.579437,-9.939922,-18.018219,0.11250124,,
2000-02-03 00:00:00+00:00,Columbus,OH,-7.519187,0.32363334,-11.709719,0.0,,
2000-02-04 00:00:00+00:00,Columbus,OH,1.541063,5.3371882,-1.1012217,1.9027047,,
2000-02-05 00:00:00+00:00,Columbus,OH,-1.098687,4.700743,-5.142724,0.11163858,,
2000-02-06 00:00:00+00:00,Columbus,OH,1.6115631,5.3642983,-0.63422495,3.5633817,,
2000-02-07 00:00:00+00:00,Columbus,OH,-5.1281867,3.3778536,-11.025728,5.5537505,,
2000-02-08 00:00:00+00:00,Columbus,OH,-9.317936,0.49140897,-13.617229,0.3323899,,
2000-02-09 00:00:00+00:00,Columbus,OH,-4.2076874,2.504964,-13.258732,5.526023,,
2000-02-10 00:00:00+00:00,Columbus,OH,-21.697437,-12.13148,-28.100235,13.780807,,
2000-02-11 00:00:00+00:00,Columbus,OH,-24.337189,-11.167926,-32.541737,0.0,,
2000-02-12 00:00:00+00:00,Columbus,OH,-6.0769367,5.145629,-12.333239,0.32911488,,
2000-02-13 00:00:00+00:00,Columbus,OH,-5.8166866,7.809184,-16.474741,11.38149,,
2000-02-14 00:00:00+00:00,Columbus,OH,-18.356438,-11.17726,-24.516241,0.0,,
2000-02-15 00:00:00+00:00,Columbus,OH,-9.496186,5.3862953,-16.707745,0.0,,
2000-02-16 00:00:00+00:00,Columbus,OH,4.714063,7.3998504,-1.3492464,26.835848,,
2000-02-17 00:00:00+00:00,Columbus,OH,-7.0256867,-0.6865948,-11.640749,0.0,,
2000-02-18 00:00:00+00:00,Columbus,OH,-1.3154367,3.7769606,-4.7822504,0.0,,
2000-02-19 00:00:00+00:00,Columbus,OH,1.1448134,6.940516,-3.7237523,0.0,,
