date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Denver,CO,-0.59843206,10.342196,-7.4432373,0.0,,
2000-01-02 00:00:00+00:00,Denver,CO,1.4075181,10.149405,-4.041848,0.0,,
2000-01-03 00:00:00+00:00,Denver,CO,-1.1720397,6.8991647,-7.6702223,0.0,,
2000-01-04 00:00:00+00:00,Denver,CO,-3.6015975,5.7989264,-10.998599,0.30671927,,
2000-01-05 00:00:00+00:00,Denver,CO,-0.08115603,9.598687,-6.6769724,0.0,,
2000-01-06 00:00:00+00:00,Denver,CO,-0.560714,8.998448,-6.605347,0.0,,
2000-01-07 00:00:00+00:00,Denver,CO,-8.540273,-1.151791,-13.633722,0.3053691,,
2000-01-08 00:00:00+00:00,Denver,CO,-5.369831,2.9479706,-9.862097,2.2870421,,
2000-01-09 00:00:00+00:00,Denver,CO,-14.599389,-4.352269,-18.390472,6.3948812,,
2000-01-10 00:00:00+00:00,Denver,CO,-15.278947,-10.252507,-18.068846,0.15205328,,
2000-01-11 00:00:00+00:00,Denver,CO,-19.808506,-12.752747,-24.197222,0.0,,
2000-01-12 00:00:00+00:00,Denver,CO,-12.388063,-1.4529854,-19.225595,0.0,,
2000-01-13 00:00:00+00:00,Denver,CO,-5.9176216,2.796775,-12.553971,0.0,,
2000-01-14 00:00:00+00:00,Denver,CO,-11.347179,1.3965368,-20.482346,2.7229073,,
2000-01-15 00:00:00+00:00,Denver,CO,-10.126738,2.1462975,-20.41072,1.5108749,,
2000-01-16 00:00:00+00:00,Denver,CO,-5.0562954,3.4460585,-11.739095,0.0,,
2000-01-17 00:00:00+00:00,Denver,CO,-2.0358539,6.1458197,-7.91747,0.0,,
2000-01-18 00:00:00+00:00,Denver,CO,-0.56541204,9.295581,-6.745846,0.0,,
2000-01-19 00:00:00+00:00,Denver,CO,2.70503,9.895341,-1.7242196,0.15038338,,
2000-01-20 00:00:00+00:00,Denver,CO,-0.7245283,6.645102,-7.2025943,0.0,,
2000-01-21 00:00:00+00:00,Denver,CO,0.09591363,7.644863,-5.0809693,0.0,,
2000-01-22 00:00:00+00:00,Denver,CO,0.06635545,9.094624,-7.159344,0.0,,
2000-01-23 00:00:00+00:00,Denver,CO,4.9367976,12.344385,-0.13771893,0.0,,
2000-01-24 00:00:00+00:00,Denver,CO,2.557239,11.094146,-4.516094,0.0,,
2000-01-25 00:00:00+00:00,Denver,CO,-2.722319,9.543908,-8.1944685,0.0,,
2000-01-26 00:00:00+00:00,Denver,CO,-4.7018776,5.2436686,-12.022843,0.0,,
2000-01-27 00:00:00+00:00,Denver,CO,4.2185645,11.893429,-0.4012182,0.0,,
2000-01-28 00:00:00+00:00,Denver,CO,5.489006,11.09319,1.9704072,0.0,,
2000-01-29 00:00:00+00:00,Denver,CO,-3.7405515,8.492951,-8.807968,0.1488442,,
2000-01-30 00:00:00+00:00,Denver,CO,-8.77011,-2.4072874,-13.586343,8.327498,,
2000-01-31 00:00:00+00:00,Denver,CO,-15.499669,-8.107526,-20.814716,0.0,,
2000-02-01 00:00:00+00:00,Denver,CO,-8.529226,2.6922348,-15.943091,0.0,,
2000-02-02 00:00:00+00:00,Denver,CO,-0.55878425,9.491996,-8.621467,0.0,,
