date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Des Moines,IA,-5.8854103,5.818071,-12.802118,0.0,,
2000-01-02 00:00:00+00:00,Des Moines,IA,0.5430879,4.39913,-3.2772179,0.0,,
2000-01-03 00:00:00+00:00,Des Moines,IA,-0.09478815,4.0126987,-3.1662583,0.0,,
2000-01-04 00:00:00+00:00,Des Moines,IA,-4.9326634,0.6262669,-8.205299,0.0,,
2000-01-05 00:00:00+00:00,Des Moines,IA,-2.020539,2.8898356,-4.74434,0.0,,
2000-01-06 00:00:00+00:00,Des Moines,IA,2.3915849,4.553404,0.16662018,0.0,,
2000-01-07 00:00:00+00:00,Des Moines,IA,-3.9962907,0.7669727,-6.7724204,0.0,,
2000-01-08 00:00:00+00:00,Des Moines,IA,-4.8841662,-2.1194587,-6.961461,4.90868,,
2000-01-09 00:00:00+00:00,Des Moines,IA,-5.2720423,-2.5058904,-6.4505005,10.264032,,
2000-01-10 00:00:00+00:00,Des Moines,IA,-7.709918,-5.1923213,-8.589542,11.900815,,
2000-01-11 00:00:00+00:00,Des Moines,IA,-12.147794,-7.4287534,-16.578583,26.33161,,
2000-01-12 00:00:00+00:00,Des Moines,IA,-16.68567,-13.815186,-18.467625,1.0414044,,
2000-01-13 00:00:00+00:00,Des Moines,IA,-16.023546,-11.351616,-18.506664,0.0,,
2000-01-14 00:00:00+00:00,Des Moines,IA,-18.761421,-15.088048,-21.395704,1.934186,,
2000-01-15 00:00:00+00:00,Des Moines,IA,-19.749298,-9.1744795,-26.834745,0.0,,
2000-01-16 00:00:00+00:00,Des Moines,IA,-14.187172,-9.410912,-19.573786,0.0,,
2000-01-17 00:00:00+00:00,Des Moines,IA,-5.6750474,-0.99734217,-13.562826,0.0,,
2000-01-18 00:00:00+00:00,Des Moines,IA,-16.812923,-6.0337734,-21.101866,0.0,,
2000-01-19 00:00:00+00:00,Des Moines,IA,-9.400799,2.729795,-20.89091,0.0,,
2000-01-20 00:00:00+00:00,Des Moines,IA,0.811325,3.4433634,-3.2299476,0.0,,
2000-01-21 00:00:00+00:00,Des Moines,IA,-7.1265497,2.356932,-15.668988,0.0,,
2000-01-22 00:00:00+00:00,Des Moines,IA,-1.3144263,2.6205003,-4.258028,0.0,,
2000-01-23 00:00:00+00:00,Des Moines,IA,0.69769806,5.034069,-4.2470694,0.0,,
2000-01-24 00:00:00+00:00,Des Moines,IA,3.6598225,5.6976376,1.2638905,0.0,,
2000-01-25 00:00:00+00:00,Des Moines,IA,2.0219471,3.611206,0.7248493,19.349277,,
2000-01-26 00:00:00+00:00,Des Moines,IA,-7.0659285,1.6247743,-11.164192,1.9349892,,
2000-01-27 00:00:00+00:00,Des Moines,IA,-4.303805,-1.3116575,-7.103232,0.29769996,,
2000-01-28 00:00:00+00:00,Des Moines,IA,0.4083199,6.4019117,-3.5922723,3.125946,,
2000-01-29 00:00:00+00:00,Des Moines,IA,-12.779556,3.1154804,-17.481314,0.14885908,,
2000-01-30 00:00:00+00:00,Des Moines,IA,-11.067431,-4.1709514,-15.0703535,5.805678,,
2000-01-31 00:00:00+00:00,Des Moines,IA,-17.105309,-4.1573825,-26.809395,3.4239624,,
2000-02-01 00:00:00+00:00,Des Moines,IA,-27.343184,-24.493814,-29.148434,0.0,,
2000-02-02 00:00:00+00:00,Des Moines,IA,-20.381058,-10.180246,-29.487476,0.44662955,,
2000-02-03 00:00:00+00:00,Des Moines,IA,-4.4689345,-0.31667763,-10.976516,0.74440354,,
2000-02-04 00:00:00+00:00,Des Moines,IA,-10.05681,-3.1031086,-17.115557,1.6377335,,
2000-02-05 00:00:00+00:00,Des Moines,IA,-14.644687,-11.8395405,-17.204597,1.3400007,,
2000-02-06 00:00:00+00:00,Des Moines,IA,-18.482563,-10.525972,-24.643637,0.7444649,,
2000-02-07 00:00:00+00:00,Des Moines,IA,-22.620438,-15.462404,-26.082678,2.2334545,,
2000-02-08 00:00:00+00:00,Des Moines,IA,-6.358313,5.051165,-22.421719,0.2978018,,
2000-02-09 00:00:00+00:00,Des Moines,IA,-23.44619,-9.985266,-32.560757,0.7445237,,
2000-02-10 00:00:00+00:00,Des Moines,IA,-32.734066,-22.321697,-37.8498,0.0,,
2000-02-11 00:00:00+00:00,Des Moines,IA,-11.42194,-3.308129,-22.288841,0.14891234,,
2000-02-12 00:00:00+00:00,Des Moines,IA,-16.559816,-8.194561,-20.177881,10.721954,,
2000-02-13 00:00:00+00:00,Des Moines,IA,-24.84769,-18.780993,-31.116922,0.8935184,,
2000-02-14 00:00:00+00:00,Des Moines,IA,-19.185568,-8.317425,-26.255962,0.0,,
2000-02-15 00:00:00+00:00,Des Moines,IA,-10.023443,-2.103855,-14.395002,0.5957076,,
2000-02-16 00:00:00+00:00,Des Moines,IA,-7.061318,-1.8402864,-10.3340435,0.0,,
2000-02-17 00:00:00+00:00,Des Moines,IA,-7.299194,2.223282,-13.173084,0.0,,
2000-02-18 00:00:00+00:00,Des Moines,IA,0.9629299,5.6368504,-2.1621242,0.0,,
2000-02-19 00:00:00+00:00,Des Moines,IA,2.9250543,5.6004186,0.94883555,0.0,,
2000-02-20 00:00:00+00:00,Des Moines,IA,0.23717849,5.4139876,-5.0902047,0.0,,
2000-02-21 00:00:00+00:00,Des Moines,IA,-2.450697,5.077556,-12.229246,1.7873691,,
2000-02-22 00:00:00+00:00,Des Moines,IA,-19.588573,-11.958876,-22.868286,1.6384575,,
2000-02-23 00:00:00+00:00,Des Moines,IA,-13.876448,-0.4453073,-23.807327,0.0,,
2000-02-24 00:00:00+00:00,Des Moines,IA,-2.0643241,1.3682617,-6.546367,0.4468713,,
2000-02-25 00:00:00+00:00,Des Moines,IA,-4.2521996,4.1818304,-13.685408,5.362569,,
2000-02-26 00:00:00+00:00,Des Moines,IA,1.8099248,5.4953985,-0.5744484,0.0,,
2000-02-27 00:00:00+00:00,Des Moines,IA,-0.37795073,3.7089674,-4.3634887,0.29793286,,
2000-02-28 00:00:00+00:00,Des Moines,IA,-7.815827,-1.777464,-12.45253,0.5958779,,
2000-02-29 00:00:00+00:00,Des Moines,IA,-7.9537024,-1.7638956,-12.44157,0.59588987,,
2000-03-01 00:00:00+00:00,Des Moines,IA,-7.691578,-3.8003268,-11.980612,0.29795086,,
2000-03-02 00:00:00+00:00,Des Moines,IA,-10.079454,-0.48675877,-18.519651,0.14897835,,
2000-03-03 00:00:00+00:00,Des Moines,IA,-1.4631609,3.9710944,-4.6493206,0.0,,
2000-03-04 00:00:00+00:00,Des Moines,IA,-4.824367,6.0955186,-13.15337,0.0,,
2000-03-05 00:00:00+00:00,Des Moines,IA,4.0144277,6.719943,-2.107416,2.32811,,
2000-03-06 00:00:00+00:00,Des Moines,IA,-10.596779,-2.2556326,-14.8614645,0.2885851,,
2000-03-07 00:00:00+00:00,Des Moines,IA,-7.3079844,2.6687915,-14.465511,0.0,,
2000-03-08 00:00:00+00:00,Des Moines,IA,-0.66919,4.093216,-6.2695584,0.0,,
2000-03-09 00:00:00+00:00,Des Moines,IA,4.3696036,7.41764,-0.42360574,0.0,,
2000-03-10 00:00:00+00:00,Des Moines,IA,-5.491602,0.042064115,-9.777654,0.0,,
2000-03-11 00:00:00+00:00,Des Moines,IA,-5.602808,4.166488,-12.531702,0.13896196,,
2000-03-12 00:00:00+00:00,Des Moines,IA,-0.6140135,3.990913,-5.235749,0.0,,
2000-03-13 00:00:00+00:00,Des Moines,IA,-1.6752199,3.1153367,-6.4897957,0.13712145,,
2000-03-14 00:00:00+00:00,Des Moines,IA,1.3635746,6.3397613,-2.893844,0.0,,
2000-03-15 00:00:00+00:00,Des Moines,IA,-3.8976316,4.714185,-7.8978915,0.0,,
2000-03-16 00:00:00+00:00,Des Moines,IA,-2.1588373,5.938609,-7.1019387,0.0,,
2000-03-17 00:00:00+00:00,Des Moines,IA,6.0299573,10.813033,2.9940135,0.0,,
2000-03-18 00:00:00+00:00,Des Moines,IA,10.118751,16.937456,5.6899657,0.13309363,,
