date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Edmonton,AB,-3.034258,-1.3548408,-5.648149,0.070875145,,
2000-01-02 00:00:00+00:00,Edmonton,AB,-12.117598,-5.0871954,-14.68119,0.0,,
2000-01-03 00:00:00+00:00,Edmonton,AB,-12.429521,-7.393621,-14.747342,0.0,,
2000-01-04 00:00:00+00:00,Edmonton,AB,-2.7414434,0.8499528,-7.813494,0.4265421,,
2000-01-05 00:00:00+00:00,Edmonton,AB,1.1966319,4.3435264,-3.7296472,5.05405,,
2000-01-06 00:00:00+00:00,Edmonton,AB,-9.81529,-3.5128994,-12.6458,0.28511003,,
2000-01-07 00:00:00+00:00,Edmonton,AB,-13.427216,-8.369326,-16.111954,0.0,,
2000-01-08 00:00:00+00:00,Edmonton,AB,-17.539139,-12.775752,-21.428104,0.42879394,,
2000-01-09 00:00:00+00:00,Edmonton,AB,-14.901062,-8.732179,-21.394257,0.93028104,,
2000-01-10 00:00:00+00:00,Edmonton,AB,-21.462986,-12.688604,-25.160412,0.2866191,,
2000-01-11 00:00:00+00:00,Edmonton,AB,-17.724909,-9.295031,-24.576561,0.0,,
2000-01-12 00:00:00+00:00,Edmonton,AB,-13.836832,-7.701456,-23.442715,0.3592246,,
2000-01-13 00:00:00+00:00,Edmonton,AB,-28.248756,-22.707882,-31.008867,0.0,,
2000-01-14 00:00:00+00:00,Edmonton,AB,-23.710678,-14.214309,-28.27502,0.0,,
2000-01-15 00:00:00+00:00,Edmonton,AB,-13.022604,-8.570734,-14.741173,0.0,,
2000-01-16 00:00:00+00:00,Edmonton,AB,-2.0845265,0.92283857,-8.957326,0.50559765,,
2000-01-17 00:00:00+00:00,Edmonton,AB,-1.8464503,3.216413,-5.2734785,0.0,,
2000-01-18 00:00:00+00:00,Edmonton,AB,-0.7083739,3.8099873,-3.9396305,2.0277998,,
2000-01-19 00:00:00+00:00,Edmonton,AB,-4.1202965,2.1035602,-8.405784,3.9885128,,
2000-01-20 00:00:00+00:00,Edmonton,AB,-11.732221,-7.1528654,-15.121936,0.29046267,,
2000-01-21 00:00:00+00:00,Edmonton,AB,-6.6441436,-3.0092916,-8.238089,2.4722478,,
2000-01-22 00:00:00+00:00,Edmonton,AB,-2.0560672,-0.76571786,-3.8542411,0.5096766,,
2000-01-23 00:00:00+00:00,Edmonton,AB,-6.8179917,-1.4221445,-13.370394,1.3123614,,
2000-01-24 00:00:00+00:00,Edmonton,AB,-7.5299144,-5.62857,-9.586547,0.29202908,,
2000-01-25 00:00:00+00:00,Edmonton,AB,-9.091839,-5.5849957,-11.602698,0.0,,
2000-01-26 00:00:00+00:00,Edmonton,AB,-14.453762,-10.491423,-16.568851,0.14640932,,
2000-01-27 00:00:00+00:00,Edmonton,AB,-16.615685,-14.197848,-19.835007,0.5131263,,
2000-01-28 00:00:00+00:00,Edmonton,AB,-26.927608,-19.104275,-30.901155,1.1744498,,
2000-01-29 00:00:00+00:00,Edmonton,AB,-26.289532,-23.0107,-34.21731,0.14700551,,
2000-01-30 00:00:00+00:00,Edmonton,AB,-36.151455,-31.567125,-38.733463,0.66242397,,
2000-01-31 00:00:00+00:00,Edmonton,AB,-35.21338,-31.373554,-38.049614,0.0,,
2000-02-01 00:00:00+00:00,Edmonton,AB,-25.275303,-17.72998,-34.215767,0.8118362,,
2000-02-02 00:00:00+00:00,Edmonton,AB,-9.337227,-3.7864053,-18.13192,0.73904014,,
2000-02-03 00:00:00+00:00,Edmonton,AB,-12.699149,-4.6928315,-19.148071,0.88806015,,
2000-02-04 00:00:00+00:00,Edmonton,AB,-11.261073,-5.6992574,-14.814224,0.518744,,
2000-02-05 00:00:00+00:00,Edmonton,AB,-12.422997,-10.605683,-14.930378,0.29683134,,
2000-02-06 00:00:00+00:00,Edmonton,AB,-18.13492,-13.312109,-22.096529,0.07430967,,
2000-02-07 00:00:00+00:00,Edmonton,AB,-14.746845,-12.618536,-19.762684,4.241471,,
2000-02-08 00:00:00+00:00,Edmonton,AB,-27.708767,-19.324963,-33.278835,2.3844535,,
2000-02-09 00:00:00+00:00,Edmonton,AB,-28.77069,-7.181388,-40.744987,0.22385053,,
2000-02-10 00:00:00+00:00,Edmonton,AB,-4.432615,1.7121857,-15.06114,1.2702367,,
2000-02-11 00:00:00+00:00,Edmonton,AB,-23.944538,-14.694241,-27.277294,0.44893825,,
2000-02-12 00:00:00+00:00,Edmonton,AB,-27.756462,-21.450666,-31.543446,0.0,,
