date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Lincoln,NE,-2.3526661,8.32281,-8.92897,0.0,,
2000-01-02 00:00:00+00:00,Lincoln,NE,1.0679997,5.795307,-3.4618452,0.0,,
2000-01-03 00:00:00+00:00,Lincoln,NE,0.025828106,5.1974316,-3.9517462,0.0,,
2000-01-04 00:00:00+00:00,Lincoln,NE,-4.3663435,1.1495551,-8.291646,0.0,,
2000-01-05 00:00:00+00:00,Lincoln,NE,-0.35851458,6.001679,-3.7315476,0.0,,
2000-01-06 00:00:00+00:00,Lincoln,NE,3.549314,6.8038025,0.92855173,0.15063544,,
2000-01-07 00:00:00+00:00,Lincoln,NE,-3.4928577,2.005927,-7.361349,0.1505968,,
2000-01-08 00:00:00+00:00,Lincoln,NE,-3.485029,-0.29194906,-5.7012496,8.882976,,
2000-01-09 00:00:00+00:00,Lincoln,NE,-4.2772007,-1.4398255,-6.0911508,6.9240017,,
2000-01-10 00:00:00+00:00,Lincoln,NE,-7.9193716,-4.2877016,-11.831052,13.844653,,
2000-01-11 00:00:00+00:00,Lincoln,NE,-14.811543,-10.235579,-18.570951,8.425181,,
2000-01-12 00:00:00+00:00,Lincoln,NE,-19.353714,-13.1834545,-24.060852,0.30082923,,
2000-01-13 00:00:00+00:00,Lincoln,NE,-14.695887,-7.68133,-18.500753,0.0,,
2000-01-14 00:00:00+00:00,Lincoln,NE,-17.288057,-13.929207,-20.240654,2.8565834,,
2000-01-15 00:00:00+00:00,Lincoln,NE,-18.78023,-8.627083,-25.680553,0.0,,
2000-01-16 00:00:00+00:00,Lincoln,NE,-11.5724,-8.074959,-15.520456,0.0,,
2000-01-17 00:00:00+00:00,Lincoln,NE,-4.014572,0.77716494,-10.760357,0.0,,
2000-01-18 00:00:00+00:00,Lincoln,NE,-11.306744,-1.170711,-17.550257,0.0,,
2000-01-19 00:00:00+00:00,Lincoln,NE,-2.1989155,3.8814125,-11.040158,0.0,,
2000-01-20 00:00:00+00:00,Lincoln,NE,0.70891345,2.6835363,-2.680059,0.15015656,,
2000-01-21 00:00:00+00:00,Lincoln,NE,-3.883258,4.48566,-10.61996,0.0,,
2000-01-22 00:00:00+00:00,Lincoln,NE,0.124570355,3.337784,-3.3598607,0.0,,
2000-01-23 00:00:00+00:00,Lincoln,NE,2.0823987,4.9899077,-0.34976116,0.0,,
2000-01-24 00:00:00+00:00,Lincoln,NE,3.2402275,5.242032,1.3603382,0.0,,
2000-01-25 00:00:00+00:00,Lincoln,NE,2.048056,4.194155,0.67043674,12.0010395,,
2000-01-26 00:00:00+00:00,Lincoln,NE,-0.7441156,2.2962797,-3.1194632,0.599943,,
2000-01-27 00:00:00+00:00,Lincoln,NE,-0.2862871,4.198403,-3.4593651,0.0,,
2000-01-28 00:00:00+00:00,Lincoln,NE,3.9715416,6.400527,2.100735,0.0,,
2000-01-29 00:00:00+00:00,Lincoln,NE,-7.77063,5.402651,-13.739167,1.0493461,,
