date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Oklahoma City,OK,3.163659,10.422816,-2.7275522,0.0,,
2000-01-02 00:00:00+00:00,Oklahoma City,OK,7.877263,13.037258,4.582634,0.0,,
2000-01-03 00:00:00+00:00,Oklahoma City,OK,10.3693075,14.665022,5.98141,0.13904104,,
2000-01-04 00:00:00+00:00,Oklahoma City,OK,5.6613517,14.142784,1.7801862,0.0,,
2000-01-05 00:00:00+00:00,Oklahoma City,OK,5.403396,12.720547,0.37896216,0.0,,
2000-01-06 00:00:00+00:00,Oklahoma City,OK,14.145441,18.848312,11.077739,0.0,,
2000-01-07 00:00:00+00:00,Oklahoma City,OK,4.6874843,15.026073,1.0765141,0.0,,
2000-01-08 00:00:00+00:00,Oklahoma City,OK,0.92952895,4.4538364,-0.92471004,16.617605,,
2000-01-09 00:00:00+00:00,Oklahoma City,OK,2.2215734,5.1816,-0.17593396,8.245793,,
2000-01-10 00:00:00+00:00,Oklahoma City,OK,1.6136184,5.109363,-2.477158,9.791114,,
2000-01-11 00:00:00+00:00,Oklahoma City,OK,-8.194338,-1.5628731,-10.978382,1.6798242,,
2000-01-12 00:00:00+00:00,Oklahoma City,OK,-10.052293,-3.0351102,-13.779606,0.0,,
2000-01-13 00:00:00+00:00,Oklahoma City,OK,-3.4602487,2.942653,-7.68083,0.0,,
2000-01-14 00:00:00+00:00,Oklahoma City,OK,-4.368205,2.0704153,-11.132054,0.14031307,,
2000-01-15 00:00:00+00:00,Oklahoma City,OK,-11.776159,-4.4018207,-15.483279,0.0,,
2000-01-16 00:00:00+00:00,Oklahoma City,OK,-4.884116,1.3759416,-8.984502,0.0,,
2000-01-17 00:00:00+00:00,Oklahoma City,OK,-0.9420717,5.0037065,-5.285727,0.0,,
2000-01-18 00:00:00+00:00,Oklahoma City,OK,-0.3000275,2.3314698,-2.3869505,0.0,,
2000-01-19 00:00:00+00:00,Oklahoma City,OK,1.942017,7.859232,-1.8381746,0.0,,
2000-01-20 00:00:00+00:00,Oklahoma City,OK,4.5840607,8.286995,1.2106013,0.0,,
2000-01-21 00:00:00+00:00,Oklahoma City,OK,3.1761053,8.914759,-1.3406228,0.0,,
2000-01-22 00:00:00+00:00,Oklahoma City,OK,5.1181493,9.742521,1.2081531,0.0,,
2000-01-23 00:00:00+00:00,Oklahoma City,OK,7.4601936,14.570286,2.056929,0.0,,
2000-01-24 00:00:00+00:00,Oklahoma City,OK,9.052238,14.948049,3.355705,0.0,,
2000-01-25 00:00:00+00:00,Oklahoma City,OK,11.994283,14.875812,9.754481,0.2828174,,
2000-01-26 00:00:00+00:00,Oklahoma City,OK,6.1863275,11.8035755,1.4532568,0.0,,
2000-01-27 00:00:00+00:00,Oklahoma City,OK,6.1283712,13.781338,0.40203267,0.0,,
2000-01-28 00:00:00+00:00,Oklahoma City,OK,12.070416,18.059101,6.7508087,0.0,,
2000-01-29 00:00:00+00:00,Oklahoma City,OK,12.862461,17.386864,10.249585,0.0,,
2000-01-30 00:00:00+00:00,Oklahoma City,OK,4.2545047,12.114628,2.1483607,0.70929,,
2000-01-31 00:00:00+00:00,Oklahoma City,OK,-4.653452,4.79239,-10.202863,3.8325045,,
2000-02-01 00:00:00+00:00,Oklahoma City,OK,-9.111406,-2.3798468,-12.504087,0.0,,
2000-02-02 00:00:00+00:00,Oklahoma City,OK,-2.5693624,5.497917,-6.8053117,0.0,,
2000-02-03 00:00:00+00:00,Oklahoma City,OK,4.5726814,11.77568,-0.30653596,0.0,,
2000-02-04 00:00:00+00:00,Oklahoma City,OK,5.564726,11.153444,0.49224025,0.0,,
2000-02-05 00:00:00+00:00,Oklahoma City,OK,5.80677,9.531206,3.9910161,0.14236224,,
2000-02-06 00:00:00+00:00,Oklahoma City,OK,2.8988152,10.00897,-3.0102077,0.14244282,,
2000-02-07 00:00:00+00:00,Oklahoma City,OK,0.6908591,9.436733,-4.8614326,0.0,,
2000-02-08 00:00:00+00:00,Oklahoma City,OK,7.532903,16.914497,1.8373439,0.0,,
2000-02-09 00:00:00+00:00,Oklahoma City,OK,-1.4250519,16.74226,-13.36388,0.71339506,,
2000-02-10 00:00:00+00:00,Oklahoma City,OK,-14.883007,-5.0799775,-19.765104,0.0,,
2000-02-11 00:00:00+00:00,Oklahoma City,OK,-1.2409632,8.097786,-6.3163285,0.0,,
2000-02-12 00:00:00+00:00,Oklahoma City,OK,2.351081,7.825549,-4.9675527,0.28581437,,
2000-02-13 00:00:00+00:00,Oklahoma City,OK,-8.656875,-4.8466887,-11.318776,0.14298153,,
2000-02-14 00:00:00+00:00,Oklahoma City,OK,-8.564831,-3.4689243,-12.42,0.14305504,,
2000-02-15 00:00:00+00:00,Oklahoma City,OK,-3.1227863,5.7088385,-5.7712245,1.717533,,
2000-02-16 00:00:00+00:00,Oklahoma City,OK,3.0192587,7.136602,-0.52244866,0.0,,
2000-02-17 00:00:00+00:00,Oklahoma City,OK,2.0113032,10.764365,-4.823673,0.0,,
2000-02-18 00:00:00+00:00,Oklahoma City,OK,7.2033467,13.492129,2.3751032,0.0,,
2000-02-19 00:00:00+00:00,Oklahoma City,OK,11.845391,21.46989,5.0738792,0.14341061,,
2000-02-20 00:00:00+00:00,Oklahoma City,OK,16.837437,24.497656,10.422655,0.0,,
2000-02-21 00:00:00+00:00,Oklahoma City,OK,8.07948,24.22542,-3.128569,0.14354745,,
2000-02-22 00:00:00+00:00,Oklahoma City,OK,-7.228476,-2.696818,-10.079793,0.0,,
2000-02-23 00:00:00+00:00,Oklahoma City,OK,-1.9364316,9.380945,-8.431017,0.0,,
2000-02-24 00:00:00+00:00,Oklahoma City,OK,5.8056126,15.708708,-0.6822411,0.0,,
2000-02-25 00:00:00+00:00,Oklahoma City,OK,9.147657,16.736473,1.9165351,0.0,,
2000-02-26 00:00:00+00:00,Oklahoma City,OK,14.889702,24.614235,8.165311,0.0,,
2000-02-27 00:00:00+00:00,Oklahoma City,OK,19.081745,24.491997,12.4640875,0.0,,
2000-02-28 00:00:00+00:00,Oklahoma City,OK,11.523791,23.019762,3.5128627,0.0,,
2000-02-29 00:00:00+00:00,Oklahoma City,OK,11.315836,22.997526,3.5616388,0.0,,
2000-03-01 00:00:00+00:00,Oklahoma City,OK,12.10788,19.475288,8.160415,0.0,,
2000-03-02 00:00:00+00:00,Oklahoma City,OK,6.5999227,14.053051,0.15919042,0.0,,
2000-03-03 00:00:00+00:00,Oklahoma City,OK,9.274823,17.962645,2.493069,0.0,,
2000-03-04 00:00:00+00:00,Oklahoma City,OK,13.539435,20.061337,8.568009,0.28571746,,
2000-03-05 00:00:00+00:00,Oklahoma City,OK,14.604047,20.110031,7.792949,1.8468004,,
2000-03-06 00:00:00+00:00,Oklahoma City,OK,2.2186577,7.608722,-2.18211,0.0,,
2000-03-07 00:00:00+00:00,Oklahoma City,OK,4.7332706,12.707415,0.34283048,0.9838041,,
2000-03-08 00:00:00+00:00,Oklahoma City,OK,10.547883,19.856108,3.7177706,0.0,,
2000-03-09 00:00:00+00:00,Oklahoma City,OK,16.612495,23.354801,10.842712,0.0,,
2000-03-10 00:00:00+00:00,Oklahoma City,OK,9.077107,21.903492,3.4676511,0.41531804,,
2000-03-11 00:00:00+00:00,Oklahoma City,OK,7.3417187,14.402186,1.5925914,0.0,,
2000-03-12 00:00:00+00:00,Oklahoma City,OK,9.106331,14.250879,4.167531,0.0,,
2000-03-13 00:00:00+00:00,Oklahoma City,OK,6.7209425,10.449571,3.1424725,3.2764513,,
2000-03-14 00:00:00+00:00,Oklahoma City,OK,8.935555,22.048264,1.1674123,0.0,,
2000-03-15 00:00:00+00:00,Oklahoma City,OK,11.350167,21.846956,4.6923523,0.0,,
2000-03-16 00:00:00+00:00,Oklahoma City,OK,13.51478,23.045649,6.017292,0.0,,
2000-03-17 00:00:00+00:00,Oklahoma City,OK,17.329391,22.394342,11.842234,0.0,,
2000-03-18 00:00:00+00:00,Oklahoma City,OK,19.444004,22.243032,16.367174,0.5346598,,
2000-03-19 00:00:00+00:00,Oklahoma City,OK,18.258615,21.741726,16.892113,3.19536,,
2000-03-20 00:00:00+00:00,Oklahoma City,OK,14.173227,19.390417,9.217054,0.0,,
2000-03-21 00:00:00+00:00,Oklahoma City,OK,15.6878395,24.189112,9.091994,0.0,,
2000-03-22 00:00:00+00:00,Oklahoma City,OK,18.302452,23.937803,14.216934,9.083577,,
2000-03-23 00:00:00+00:00,Oklahoma City,OK,21.167065,26.936495,16.841877,2.7546403,,
2000-03-24 00:00:00+00:00,Oklahoma City,OK,22.081676,26.685188,16.866816,0.52285016,,
2000-03-25 00:00:00+00:00,Oklahoma City,OK,19.746286,25.63388,17.191757,10.551311,,
2000-03-26 00:00:00+00:00,Oklahoma City,OK,8.5109,22.582575,2.2166955,2.8561423,,
2000-03-27 00:00:00+00:00,Oklahoma City,OK,4.5255117,9.831268,-0.8083638,0.0,,
2000-03-28 00:00:00+00:00,Oklahoma City,OK,1.7901239,7.8799577,-1.7334235,0.6448958,,
2000-03-29 00:00:00+00:00,Oklahoma City,OK,2.6547358,4.57865,1.0915173,3.5999985,,
2000-03-30 00:00:00+00:00,Oklahoma City,OK,6.419348,14.377347,3.316456,0.8972118,,
2000-03-31 00:00:00+00:00,Oklahoma City,OK,9.73396,14.526039,5.9913974,5.111361,,
2000-04-01 00:00:00+00:00,Oklahoma City,OK,11.748572,16.92473,8.966338,21.786045,,
2000-04-02 00:00:00+00:00,Oklahoma City,OK,12.813185,19.423422,7.191278,0.0,,
2000-04-03 00:00:00+00:00,Oklahoma City,OK,14.327796,20.022116,8.766217,0.0,,
2000-04-04 00:00:00+00:00,Oklahoma City,OK,16.84241,26.670807,10.391159,0.0,,
2000-04-05 00:00:00+00:00,Oklahoma City,OK,17.30702,26.369501,11.766099,0.12596571,,
2000-04-06 00:00:00+00:00,Oklahoma City,OK,18.471634,23.018192,15.441039,0.7537534,,
2000-04-07 00:00:00+00:00,Oklahoma City,OK,17.986244,20.466885,15.86598,6.7658057,,
2000-04-08 00:00:00+00:00,Oklahoma City,OK,18.450857,20.265577,16.74092,1.8745025,,
2000-04-09 00:00:00+00:00,Oklahoma City,OK,16.615469,19.714268,15.015861,27.17321,,
2000-04-10 00:00:00+00:00,Oklahoma City,OK,15.230082,16.562962,14.690801,9.076477,,
2000-04-11 00:00:00+00:00,Oklahoma City,OK,16.644691,24.811657,11.11574,0.24805844,,
2000-04-12 00:00:00+00:00,Oklahoma City,OK,20.909306,27.760351,15.040681,0.0,,
2000-04-13 00:00:00+00:00,Oklahoma City,OK,21.423918,27.459042,19.715622,4.4436774,,
2000-04-14 00:00:00+00:00,Oklahoma City,OK,20.788528,24.007734,18.990562,10.467533,,
2000-04-15 00:00:00+00:00,Oklahoma City,OK,21.153141,24.956429,17.615501,38.088177,,
2000-04-16 00:00:00+00:00,Oklahoma City,OK,18.817753,24.55512,15.890443,9.439291,,
2000-04-17 00:00:00+00:00,Oklahoma City,OK,13.032366,19.45381,7.715382,32.780865,,
2000-04-18 00:00:00+00:00,Oklahoma City,OK,10.646977,16.452503,5.9903216,0.24410057,,
2000-04-19 00:00:00+00:00,Oklahoma City,OK,11.961588,16.251198,7.1652627,0.48715588,,
2000-04-20 00:00:00+00:00,Oklahoma City,OK,12.126204,16.049889,7.4902024,1.3368579,,
2000-04-21 00:00:00+00:00,Oklahoma City,OK,12.740814,18.948582,8.015144,0.48512346,,
2000-04-22 00:00:00+00:00,Oklahoma City,OK,16.705425,20.747276,13.090084,0.1210338,,
2000-04-23 00:00:00+00:00,Oklahoma City,OK,18.470036,20.545969,16.765024,3.5029469,,
2000-04-24 00:00:00+00:00,Oklahoma City,OK,13.98465,20.29466,11.139964,6.027655,,
2000-04-25 00:00:00+00:00,Oklahoma City,OK,11.799264,16.293352,7.8149037,0.12031919,,
2000-04-26 00:00:00+00:00,Oklahoma City,OK,12.913876,19.592047,7.289844,0.0,,
2000-04-27 00:00:00+00:00,Oklahoma City,OK,15.828484,24.340738,9.964785,0.7191823,,
2000-04-28 00:00:00+00:00,Oklahoma City,OK,20.593098,25.43943,15.289726,0.5982097,,
2000-04-29 00:00:00+00:00,Oklahoma City,OK,17.507708,24.588123,13.214664,1.0748159,,
2000-04-30 00:00:00+00:00,Oklahoma City,OK,9.272324,13.286815,5.7396054,16.093317,,
2000-05-01 00:00:00+00:00,Oklahoma City,OK,11.586934,19.38551,6.0645456,1.308991,,
2000-05-02 00:00:00+00:00,Oklahoma City,OK,14.701548,21.2342,8.289486,0.0,,
2000-05-03 00:00:00+00:00,Oklahoma City,OK,16.007942,21.881504,9.806037,0.0,,
2000-05-04 00:00:00+00:00,Oklahoma City,OK,16.811602,22.528343,13.21979,1.3056349,,
