date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Quebec City,QC,-10.274698,-5.189354,-14.926943,2.7954984,,
2000-01-02 00:00:00+00:00,Quebec City,QC,-26.249615,-19.314423,-30.347229,1.3388336,,
2000-01-03 00:00:00+00:00,Quebec City,QC,-27.045599,-20.859564,-31.741776,0.66791815,,
2000-01-04 00:00:00+00:00,Quebec City,QC,-27.041586,-18.204706,-32.886314,0.0,,
2000-01-05 00:00:00+00:00,Quebec City,QC,-15.837573,-11.499848,-18.33086,1.6623211,,
2000-01-06 00:00:00+00:00,Quebec City,QC,-13.983561,-5.1449904,-18.3754,1.4374479,,
2000-01-07 00:00:00+00:00,Quebec City,QC,-0.6795466,1.3098676,-2.2699435,5.295593,,
2000-01-08 00:00:00+00:00,Quebec City,QC,-16.425533,-2.0852754,-20.564487,3.3023164,,
2000-01-09 00:00:00+00:00,Quebec City,QC,-22.771519,-19.480417,-26.759031,0.10983,,
2000-01-10 00:00:00+00:00,Quebec City,QC,-23.217508,-15.175559,-29.003574,0.109583214,,
2000-01-11 00:00:00+00:00,Quebec City,QC,-12.613494,-8.420703,-18.398117,9.512305,,
2000-01-12 00:00:00+00:00,Quebec City,QC,-13.45948,-12.765845,-15.99266,8.399999,,
2000-01-13 00:00:00+00:00,Quebec City,QC,-14.255467,-13.460986,-16.487206,2.5034437,,
2000-01-14 00:00:00+00:00,Quebec City,QC,-16.401455,-15.25613,-17.181746,0.43440104,,
2000-01-15 00:00:00+00:00,Quebec City,QC,-25.947441,-18.851274,-31.22629,0.108355574,,
2000-01-16 00:00:00+00:00,Quebec City,QC,-24.693428,-20.496416,-26.920832,0.43244526,,
2000-01-17 00:00:00+00:00,Quebec City,QC,-22.189415,-13.191558,-27.665375,1.2944096,,
2000-01-18 00:00:00+00:00,Quebec City,QC,-14.785402,-13.236701,-18.309917,2.0448563,,
2000-01-19 00:00:00+00:00,Quebec City,QC,-24.731388,-21.231844,-29.90446,0.0,,
2000-01-20 00:00:00+00:00,Quebec City,QC,-17.977375,-5.8269844,-26.549004,0.42855358,,
2000-01-21 00:00:00+00:00,Quebec City,QC,-3.4233625,-2.0721273,-8.893544,1.068962,,
2000-01-22 00:00:00+00:00,Quebec City,QC,-18.319351,-12.567269,-24.53809,0.4266176,,
2000-01-23 00:00:00+00:00,Quebec City,QC,-16.665337,-14.762412,-20.882633,2.2346735,,
2000-01-24 00:00:00+00:00,Quebec City,QC,-14.261324,-2.0575552,-23.127174,1.1678927,,
2000-01-25 00:00:00+00:00,Quebec City,QC,-3.1073105,-0.30269763,-7.021717,4.0253963,,
2000-01-26 00:00:00+00:00,Quebec City,QC,-1.4032962,5.3521595,-7.216259,9.089456,,
2000-01-27 00:00:00+00:00,Quebec City,QC,-0.34928343,4.8570175,-7.660803,9.596096,,
