date,city,province_or_state,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum
2000-01-01 00:00:00+00:00,Winnipeg,MB,-10.228798,-5.580591,-20.976086,0.18690686,,
2000-01-02 00:00:00+00:00,Winnipeg,MB,-9.601392,-8.0546,-13.297279,0.18661086,,
2000-01-03 00:00:00+00:00,Winnipeg,MB,-20.743275,-14.540168,-24.141144,0.0,,
2000-01-04 00:00:00+00:00,Winnipeg,MB,-10.785154,-5.875737,-18.035011,0.0,,
2000-01-05 00:00:00+00:00,Winnipeg,MB,-4.027034,-1.7613039,-5.7788773,2.4430037,,
2000-01-06 00:00:00+00:00,Winnipeg,MB,-9.168919,-1.8468719,-11.922746,2.2603219,,
2000-01-07 00:00:00+00:00,Winnipeg,MB,-19.1608,-12.68244,-22.566614,0.37759307,,
2000-01-08 00:00:00+00:00,Winnipeg,MB,-18.10268,-15.418009,-20.16048,0.09461629,,
2000-01-09 00:00:00+00:00,Winnipeg,MB,-23.094563,-16.553577,-28.354347,0.0,,
2000-01-10 00:00:00+00:00,Winnipeg,MB,-18.536442,-16.339144,-20.748213,0.19010356,,
2000-01-11 00:00:00+00:00,Winnipeg,MB,-24.728327,-19.824713,-27.39208,0.19053856,,
2000-01-12 00:00:00+00:00,Winnipeg,MB,-19.220207,-14.260282,-23.385944,0.0,,
2000-01-13 00:00:00+00:00,Winnipeg,MB,-19.412088,-13.245851,-27.379812,0.287111,,
2000-01-14 00:00:00+00:00,Winnipeg,MB,-25.00397,-19.731419,-28.073677,0.0,,
2000-01-15 00:00:00+00:00,Winnipeg,MB,-15.845851,-13.216986,-19.067545,0.0,,
2000-01-16 00:00:00+00:00,Winnipeg,MB,-17.637732,-8.1525545,-23.761412,0.8671852,,
2000-01-17 00:00:00+00:00,Winnipeg,MB,-18.129612,-8.238121,-23.555279,0.4828515,,
2000-01-18 00:00:00+00:00,Winnipeg,MB,-20.571495,-9.423691,-29.599144,2.4196627,,
2000-01-19 00:00:00+00:00,Winnipeg,MB,-2.613377,5.4407415,-9.143011,1.1640304,,
2000-01-20 00:00:00+00:00,Winnipeg,MB,-7.605258,4.055173,-14.636879,0.97218394,,
2000-01-21 00:00:00+00:00,Winnipeg,MB,-11.74714,1.0696055,-19.130745,1.2666427,,
2000-01-22 00:00:00+00:00,Winnipeg,MB,-17.239021,-8.465961,-26.224611,0.48824772,,
2000-01-23 00:00:00+00:00,Winnipeg,MB,-5.880904,-3.201531,-10.068479,1.6637025,,
2000-01-24 00:00:00+00:00,Winnipeg,MB,-13.322784,-9.387098,-20.712345,2.4519997,,
2000-01-25 00:00:00+00:00,Winnipeg,MB,-19.664667,-14.822668,-23.05621,0.098294936,,
2000-01-26 00:00:00+00:00,Winnipeg,MB,-17.206547,-14.008234,-19.350077,0.098509714,,
2000-01-27 00:00:00+00:00,Winnipeg,MB,-24.59843,-18.393805,-28.293943,0.39489722,,
2000-01-28 00:00:00+00:00,Winnipeg,MB,-27.54031,-24.879372,-29.037811,0.098938726,,
2000-01-29 00:00:00+00:00,Winnipeg,MB,-30.88219,-26.11494,-34.331676,0.09915297,,
2000-01-30 00:00:00+00:00,Winnipeg,MB,-26.724075,-20.550508,-30.175545,0.19873405,,
2000-01-31 00:00:00+00:00,Winnipeg,MB,-27.465956,-20.586077,-34.61941,2.9874277,,
2000-02-01 00:00:00+00:00,Winnipeg,MB,-37.05784,-34.47164,-40.06328,0.4989731,,
2000-02-02 00:00:00+00:00,Winnipeg,MB,-31.949718,-24.107212,-36.55714,0.0,,
2000-02-03 00:00:00+00:00,Winnipeg,MB,-19.0416,-15.392779,-24.30101,0.7015506,,
2000-02-04 00:00:00+00:00,Winnipeg,MB,-28.533482,-19.47835,-32.544876,0.60260814,,
2000-02-05 00:00:00+00:00,Winnipeg,MB,-28.675364,-24.913918,-30.688744,0.30194306,,
2000-02-06 00:00:00+00:00,Winnipeg,MB,-31.167244,-27.849483,-34.08261,0.20172103,,
2000-02-07 00:00:00+00:00,Winnipeg,MB,-29.559126,-21.335052,-34.526474,0.0,,
2000-02-08 00:00:00+00:00,Winnipeg,MB,-24.751007,-20.320621,-29.420341,1.8231415,,
2000-02-09 00:00:00+00:00,Winnipeg,MB,-36.142887,-30.05619,-38.864212,0.20299588,,
2000-02-10 00:00:00+00:00,Winnipeg,MB,-34.53477,-23.591759,-41.058075,0.10171006,,
2000-02-11 00:00:00+00:00,Winnipeg,MB,-22.526651,-20.927326,-24.401943,5.8095546,,
2000-02-12 00:00:00+00:00,Winnipeg,MB,-29.468534,-25.062895,-32.69581,0.71493644,,
2000-02-13 00:00:00+00:00,Winnipeg,MB,-26.460415,-20.74846,-30.589676,0.0,,
2000-02-14 00:00:00+00:00,Winnipeg,MB,-16.202297,-3.8340306,-21.78354,0.0,,
2000-02-15 00:00:00+00:00,Winnipeg,MB,-5.344178,-3.3695989,-8.127408,4.419027,,
2000-02-16 00:00:00+00:00,Winnipeg,MB,-14.786058,-9.005168,-20.321276,0.51489574,,
2000-02-17 00:00:00+00:00,Winnipeg,MB,-2.8779407,2.259265,-12.015141,0.0,,
2000-02-18 00:00:00+00:00,Winnipeg,MB,0.03017807,2.1736963,-1.8590078,0.0,,
2000-02-19 00:00:00+00:00,Winnipeg,MB,-2.2117043,1.4881283,-5.952877,0.9325019,,
2000-02-20 00:00:00+00:00,Winnipeg,MB,-13.803585,-2.6974401,-18.696741,0.8305737,,
2000-02-21 00:00:00+00:00,Winnipeg,MB,-24.445465,-18.233007,-26.490608,0.104031935,,
2000-02-22 00:00:00+00:00,Winnipeg,MB,-28.737347,-22.518578,-34.484474,0.0,,
2000-02-23 00:00:00+00:00,Winnipeg,MB,-18.279228,-12.754146,-22.12834,0.10445183,,
2000-02-24 00:00:00+00:00,Winnipeg,MB,-15.5211115,-12.639713,-19.27221,0.20932305,,
2000-02-25 00:00:00+00:00,Winnipeg,MB,-20.262993,-16.125282,-25.666075,0.0,,
2000-02-26 00:00:00+00:00,Winnipeg,MB,-22.054873,-16.810848,-27.159943,0.1050804,,
2000-02-27 00:00:00+00:00,Winnipeg,MB,-22.946754,-18.996418,-28.003809,0.0,,
