time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2007-01-01,12.8,8.2,46.2,24.8,2007,Annapolis,MD
2007-01-02,9.4,3.8,0.0,29.0,2007,Annapolis,MD
2007-01-03,11.4,2.3,0.0,18.7,2007,Annapolis,MD
2007-01-04,14.0,6.1,0.0,20.3,2007,Annapolis,MD
2007-01-05,15.1,11.2,3.1,21.7,2007,Annapolis,MD
2007-01-06,18.3,12.9,5.6,24.5,2007,Annapolis,MD
2007-01-07,12.6,8.1,7.8,20.9,2007,Annapolis,MD
2007-01-08,11.5,4.8,27.0,28.8,2007,Annapolis,MD
2007-01-09,8.1,2.5,0.1,21.8,2007,Annapolis,MD
2007-01-10,3.5,0.2,0.0,26.8,2007,Annapolis,MD
2007-01-11,5.1,-2.2,0.0,21.0,2007,Annapolis,MD
2007-01-12,9.9,4.2,0.0,23.5,2007,Annapolis,MD
2007-01-13,14.6,9.4,0.6,20.4,2007,Annapolis,MD
2007-01-14,13.8,11.0,5.9,14.1,2007,Annapolis,MD
2007-01-15,16.2,11.2,0.6,23.1,2007,Annapolis,MD
2007-01-16,15.8,2.0,0.6,26.6,2007,Annapolis,MD
2007-01-17,1.2,-3.3,0.0,27.7,2007,Annapolis,MD
2007-01-18,2.5,-1.5,0.3,13.2,2007,Annapolis,MD
2007-01-19,6.7,1.4,1.0,28.8,2007,Annapolis,MD
2007-01-20,2.5,-1.0,0.0,34.8,2007,Annapolis,MD
2007-01-21,-0.2,-2.8,4.8,17.8,2007,Annapolis,MD
2007-01-22,3.3,0.0,4.4,14.2,2007,Annapolis,MD
2007-01-23,4.1,1.0,0.0,18.8,2007,Annapolis,MD
2007-01-24,3.7,0.7,0.0,13.2,2007,Annapolis,MD
2007-01-25,2.5,-3.4,0.4,35.9,2007,Annapolis,MD
2007-01-26,-0.3,-7.6,0.0,35.9,2007,Annapolis,MD
2007-01-27,8.9,-1.4,0.0,16.1,2007,Annapolis,MD
2007-01-28,5.1,0.8,0.4,26.1,2007,Annapolis,MD
2007-01-29,0.3,-4.1,0.0,34.8,2007,Annapolis,MD
2007-01-30,5.1,-3.4,0.1,25.8,2007,Annapolis,MD
2007-01-31,0.6,-4.3,0.0,27.7,2007,Annapolis,MD
2007-02-01,1.8,-1.6,0.0,20.7,2007,Annapolis,MD
2007-02-02,3.0,0.9,3.6,19.4,2007,Annapolis,MD
2007-02-03,2.7,-2.7,0.0,25.9,2007,Annapolis,MD
2007-02-04,1.9,-4.1,0.0,30.0,2007,Annapolis,MD
