time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2002-01-01,2.7,-2.0,0.0,13.4,2002,Jackson,MS
2002-01-02,3.9,-1.3,0.0,14.5,2002,Jackson,MS
2002-01-03,2.3,-3.8,0.0,16.6,2002,Jackson,MS
2002-01-04,6.2,-4.4,0.0,12.2,2002,Jackson,MS
2002-01-05,8.5,-2.8,40.1,20.5,2002,Jackson,MS
2002-01-06,8.1,2.8,11.9,20.5,2002,Jackson,MS
2002-01-07,4.5,0.3,0.4,18.9,2002,Jackson,MS
2002-01-08,9.8,-4.5,0.0,14.3,2002,Jackson,MS
2002-01-09,18.4,2.2,0.0,17.1,2002,Jackson,MS
2002-01-10,20.0,8.4,0.0,23.7,2002,Jackson,MS
2002-01-11,15.7,9.5,0.9,14.7,2002,Jackson,MS
2002-01-12,14.0,5.5,0.3,14.6,2002,Jackson,MS
2002-01-13,14.9,2.6,0.0,18.4,2002,Jackson,MS
2002-01-14,15.7,4.9,0.0,15.8,2002,Jackson,MS
2002-01-15,11.4,1.0,0.0,13.2,2002,Jackson,MS
2002-01-16,14.2,-0.5,0.0,12.2,2002,Jackson,MS
2002-01-17,17.4,4.1,0.9,14.0,2002,Jackson,MS
2002-01-18,14.5,6.0,6.5,16.8,2002,Jackson,MS
2002-01-19,15.9,3.8,20.6,22.1,2002,Jackson,MS
2002-01-20,12.3,2.2,0.2,11.6,2002,Jackson,MS
2002-01-21,15.3,5.6,7.0,11.9,2002,Jackson,MS
2002-01-22,17.8,4.8,7.0,19.9,2002,Jackson,MS
2002-01-23,24.4,18.1,0.3,21.1,2002,Jackson,MS
2002-01-24,21.9,9.5,46.3,30.5,2002,Jackson,MS
2002-01-25,12.2,3.8,1.0,17.0,2002,Jackson,MS
2002-01-26,14.0,-0.9,0.0,8.2,2002,Jackson,MS
2002-01-27,20.1,4.0,0.0,14.1,2002,Jackson,MS
2002-01-28,20.1,11.6,0.1,14.3,2002,Jackson,MS
2002-01-29,23.9,17.8,0.4,18.0,2002,Jackson,MS
2002-01-30,23.3,16.9,0.2,18.8,2002,Jackson,MS
2002-01-31,25.0,18.2,5.0,23.8,2002,Jackson,MS
2002-02-01,15.3,5.7,3.8,17.8,2002,Jackson,MS
2002-02-02,11.0,0.9,0.0,12.8,2002,Jackson,MS
2002-02-03,11.3,3.1,0.0,7.2,2002,Jackson,MS
2002-02-04,11.9,4.2,0.0,14.4,2002,Jackson,MS
2002-02-05,6.2,1.7,14.3,15.5,2002,Jackson,MS
2002-02-06,4.8,1.4,22.8,14.9,2002,Jackson,MS
2002-02-07,7.0,1.5,0.0,18.6,2002,Jackson,MS
2002-02-08,13.9,-1.3,0.0,8.0,2002,Jackson,MS
2002-02-09,16.9,0.6,0.0,15.9,2002,Jackson,MS
2002-02-10,12.6,7.3,0.9,17.4,2002,Jackson,MS
2002-02-11,10.8,3.1,0.0,15.2,2002,Jackson,MS
2002-02-12,14.1,-0.9,0.0,8.5,2002,Jackson,MS
2002-02-13,14.2,5.8,0.0,13.7,2002,Jackson,MS
2002-02-14,12.9,-0.4,0.0,13.5,2002,Jackson,MS
2002-02-15,18.2,1.2,0.2,14.1,2002,Jackson,MS
2002-02-16,14.5,3.8,0.9,13.8,2002,Jackson,MS
2002-02-17,16.0,2.1,0.0,10.7,2002,Jackson,MS
2002-02-18,18.6,3.6,0.0,18.0,2002,Jackson,MS
2002-02-19,21.1,9.1,2.4,30.1,2002,Jackson,MS
2002-02-20,19.3,9.7,16.1,28.5,2002,Jackson,MS
2002-02-21,20.9,5.3,0.0,14.5,2002,Jackson,MS
2002-02-22,12.1,4.4,3.6,17.9,2002,Jackson,MS
2002-02-23,12.5,-1.2,0.0,11.3,2002,Jackson,MS
2002-02-24,18.1,0.8,0.0,17.3,2002,Jackson,MS
2002-02-25,20.0,4.8,0.0,17.9,2002,Jackson,MS
2002-02-26,15.4,0.5,2.2,20.3,2002,Jackson,MS
2002-02-27,2.7,-4.3,0.0,20.1,2002,Jackson,MS
2002-02-28,8.6,-4.2,0.0,12.0,2002,Jackson,MS
2002-03-01,10.3,0.2,16.3,27.7,2002,Jackson,MS
2002-03-02,17.5,6.0,0.7,26.0,2002,Jackson,MS
2002-03-03,4.6,-2.6,0.0,22.8,2002,Jackson,MS
2002-03-04,4.8,-4.9,0.0,16.1,2002,Jackson,MS
2002-03-05,13.9,-3.4,0.0,12.6,2002,Jackson,MS
2002-03-06,15.4,-1.1,0.0,15.6,2002,Jackson,MS
2002-03-07,21.3,6.9,0.0,14.3,2002,Jackson,MS
2002-03-08,22.4,10.5,0.0,22.7,2002,Jackson,MS
2002-03-09,19.8,7.8,2.8,21.8,2002,Jackson,MS
2002-03-10,13.5,2.5,0.0,19.2,2002,Jackson,MS
2002-03-11,14.6,1.8,2.9,19.2,2002,Jackson,MS
2002-03-12,16.0,10.5,27.2,20.5,2002,Jackson,MS
2002-03-13,19.4,6.0,0.0,11.0,2002,Jackson,MS
2002-03-14,22.5,8.4,0.0,18.7,2002,Jackson,MS
2002-03-15,26.2,15.0,1.2,24.5,2002,Jackson,MS
2002-03-16,24.4,19.9,9.9,15.9,2002,Jackson,MS
2002-03-17,26.3,20.5,1.8,21.6,2002,Jackson,MS
2002-03-18,26.3,18.7,0.0,16.2,2002,Jackson,MS
2002-03-19,25.7,16.9,0.3,21.3,2002,Jackson,MS
2002-03-20,23.6,13.7,35.2,26.8,2002,Jackson,MS
2002-03-21,17.5,10.9,1.0,22.3,2002,Jackson,MS
2002-03-22,9.9,0.7,0.0,24.9,2002,Jackson,MS
2002-03-23,15.4,0.4,0.0,12.6,2002,Jackson,MS
2002-03-24,21.3,4.9,0.0,17.9,2002,Jackson,MS
2002-03-25,23.2,11.3,0.9,15.2,2002,Jackson,MS
2002-03-26,18.1,7.2,9.6,21.6,2002,Jackson,MS
2002-03-27,16.9,2.9,0.0,11.9,2002,Jackson,MS
2002-03-28,23.2,4.7,0.0,14.8,2002,Jackson,MS
2002-03-29,26.3,15.8,0.0,24.7,2002,Jackson,MS
2002-03-30,25.1,18.4,27.5,15.7,2002,Jackson,MS
2002-03-31,20.3,15.2,14.2,16.1,2002,Jackson,MS
2002-04-01,22.9,9.9,0.0,12.3,2002,Jackson,MS
2002-04-02,25.4,10.3,0.0,13.0,2002,Jackson,MS
2002-04-03,17.7,10.3,1.2,19.9,2002,Jackson,MS
2002-04-04,14.4,6.5,0.0,14.0,2002,Jackson,MS
2002-04-05,15.9,4.2,0.0,14.6,2002,Jackson,MS
2002-04-06,19.1,3.9,0.0,17.4,2002,Jackson,MS
2002-04-07,23.5,9.5,0.0,25.3,2002,Jackson,MS
2002-04-08,23.7,18.3,42.0,34.0,2002,Jackson,MS
2002-04-09,22.8,13.7,1.2,12.0,2002,Jackson,MS
2002-04-10,23.3,12.0,0.0,10.6,2002,Jackson,MS
2002-04-11,24.7,14.0,0.5,14.0,2002,Jackson,MS
2002-04-12,23.8,17.1,1.6,13.3,2002,Jackson,MS
2002-04-13,25.0,14.1,0.0,14.5,2002,Jackson,MS
2002-04-14,25.1,15.9,0.0,12.0,2002,Jackson,MS
2002-04-15,25.9,15.4,0.0,13.8,2002,Jackson,MS
2002-04-16,28.1,19.1,0.0,16.8,2002,Jackson,MS
2002-04-17,28.9,17.3,0.0,11.5,2002,Jackson,MS
2002-04-18,29.3,17.2,0.0,12.1,2002,Jackson,MS
2002-04-19,28.9,17.5,0.0,12.1,2002,Jackson,MS
2002-04-20,28.6,18.0,0.0,13.4,2002,Jackson,MS
2002-04-21,28.4,18.7,0.0,15.3,2002,Jackson,MS
