time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2003-01-01,3.3,-2.2,0.0,20.0,2003,Topeka,KS
2003-01-02,3.1,-3.0,0.0,18.4,2003,Topeka,KS
2003-01-03,7.0,-4.2,0.0,16.1,2003,Topeka,KS
2003-01-04,13.1,-2.1,0.0,25.4,2003,Topeka,KS
2003-01-05,9.7,-0.9,0.0,17.0,2003,Topeka,KS
2003-01-06,2.2,-3.1,0.0,18.8,2003,Topeka,KS
2003-01-07,12.0,-2.9,0.0,15.8,2003,Topeka,KS
2003-01-08,18.5,4.4,0.0,18.8,2003,Topeka,KS
2003-01-09,6.7,-0.3,0.0,28.2,2003,Topeka,KS
2003-01-10,-0.8,-4.5,0.0,23.7,2003,Topeka,KS
2003-01-11,1.9,-7.3,0.0,9.0,2003,Topeka,KS
2003-01-12,6.1,-4.2,0.0,18.1,2003,Topeka,KS
2003-01-13,6.9,-3.0,0.0,13.2,2003,Topeka,KS
2003-01-14,-0.2,-5.1,0.0,19.6,2003,Topeka,KS
2003-01-15,0.7,-4.7,2.6,18.4,2003,Topeka,KS
2003-01-16,-3.9,-9.4,5.5,23.3,2003,Topeka,KS
2003-01-17,-8.8,-16.4,0.0,16.8,2003,Topeka,KS
2003-01-18,-2.5,-12.3,0.1,24.5,2003,Topeka,KS
2003-01-19,10.3,-11.9,0.0,20.4,2003,Topeka,KS
2003-01-20,6.7,-3.3,0.0,18.4,2003,Topeka,KS
2003-01-21,-3.2,-7.3,0.0,20.0,2003,Topeka,KS
2003-01-22,-6.5,-12.5,1.8,19.8,2003,Topeka,KS
2003-01-23,-10.6,-17.7,0.0,17.3,2003,Topeka,KS
2003-01-24,-1.6,-11.6,0.0,17.6,2003,Topeka,KS
2003-01-25,5.5,-6.8,0.0,21.4,2003,Topeka,KS
2003-01-26,-4.1,-11.4,0.1,23.1,2003,Topeka,KS
2003-01-27,6.1,-9.1,0.0,21.9,2003,Topeka,KS
2003-01-28,9.0,-0.1,0.6,16.6,2003,Topeka,KS
2003-01-29,0.7,-3.2,0.2,18.4,2003,Topeka,KS
2003-01-30,7.9,-5.0,0.0,23.2,2003,Topeka,KS
2003-01-31,7.5,-2.1,4.6,25.3,2003,Topeka,KS
2003-02-01,15.0,-2.3,0.0,14.0,2003,Topeka,KS
2003-02-02,16.8,5.0,0.0,23.0,2003,Topeka,KS
2003-02-03,6.5,-2.7,2.6,31.9,2003,Topeka,KS
2003-02-04,1.7,-6.3,0.0,19.4,2003,Topeka,KS
2003-02-05,3.5,-5.3,1.6,9.9,2003,Topeka,KS
2003-02-06,-1.3,-9.1,2.3,25.1,2003,Topeka,KS
2003-02-07,-2.0,-14.2,0.0,20.2,2003,Topeka,KS
2003-02-08,4.3,-6.6,0.0,21.4,2003,Topeka,KS
2003-02-09,4.5,-3.8,0.0,13.2,2003,Topeka,KS
2003-02-10,3.6,-3.4,0.0,14.4,2003,Topeka,KS
2003-02-11,9.4,-5.9,0.0,20.5,2003,Topeka,KS
2003-02-12,8.4,-4.7,0.0,10.7,2003,Topeka,KS
2003-02-13,10.0,-2.1,2.2,15.9,2003,Topeka,KS
2003-02-14,7.7,4.2,16.7,16.5,2003,Topeka,KS
2003-02-15,3.6,-6.2,2.6,27.4,2003,Topeka,KS
2003-02-16,-0.2,-8.7,0.0,22.6,2003,Topeka,KS
2003-02-17,6.6,-8.1,0.0,14.1,2003,Topeka,KS
2003-02-18,10.5,-1.9,0.0,15.1,2003,Topeka,KS
2003-02-19,9.8,-0.3,0.0,11.9,2003,Topeka,KS
2003-02-20,12.0,-2.5,0.0,14.9,2003,Topeka,KS
2003-02-21,12.1,0.1,0.0,12.0,2003,Topeka,KS
2003-02-22,5.1,-1.9,0.0,23.2,2003,Topeka,KS
2003-02-23,-2.5,-8.5,4.8,23.8,2003,Topeka,KS
2003-02-24,-9.0,-15.1,0.0,21.4,2003,Topeka,KS
2003-02-25,-6.5,-14.9,0.0,9.4,2003,Topeka,KS
2003-02-26,-1.1,-9.1,0.0,8.0,2003,Topeka,KS
2003-02-27,-0.0,-3.9,1.2,7.5,2003,Topeka,KS
2003-02-28,2.3,-3.8,0.3,7.0,2003,Topeka,KS
2003-03-01,3.0,-3.2,0.0,9.5,2003,Topeka,KS
2003-03-02,-0.7,-6.1,0.0,20.4,2003,Topeka,KS
2003-03-03,7.9,-5.3,0.0,20.9,2003,Topeka,KS
2003-03-04,5.0,-8.9,6.7,26.6,2003,Topeka,KS
2003-03-05,-4.8,-11.5,1.1,21.8,2003,Topeka,KS
2003-03-06,6.4,-14.3,0.0,21.6,2003,Topeka,KS
2003-03-07,8.5,-3.7,0.0,13.8,2003,Topeka,KS
2003-03-08,11.3,-5.5,0.0,26.6,2003,Topeka,KS
2003-03-09,-1.0,-9.9,0.0,18.8,2003,Topeka,KS
2003-03-10,2.6,-7.9,0.0,12.3,2003,Topeka,KS
2003-03-11,12.2,-3.4,0.0,20.1,2003,Topeka,KS
2003-03-12,18.2,-1.2,17.8,16.5,2003,Topeka,KS
2003-03-13,12.2,0.6,0.0,18.3,2003,Topeka,KS
2003-03-14,17.2,1.5,0.0,17.1,2003,Topeka,KS
