time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,6.2,4.0,5.4,22.3,2000,Victoria,BC
2000-01-02,5.0,2.7,0.0,21.0,2000,Victoria,BC
2000-01-03,5.8,2.4,18.0,13.7,2000,Victoria,BC
2000-01-04,7.5,5.3,4.3,29.0,2000,Victoria,BC
2000-01-05,6.2,3.3,0.0,19.6,2000,Victoria,BC
2000-01-06,4.7,2.8,9.7,9.4,2000,Victoria,BC
2000-01-07,7.2,3.5,7.0,11.5,2000,Victoria,BC
2000-01-08,6.9,3.4,5.6,30.5,2000,Victoria,BC
2000-01-09,5.2,2.2,13.7,30.8,2000,Victoria,BC
2000-01-10,3.4,1.8,3.6,20.5,2000,Victoria,BC
2000-01-11,3.7,0.8,0.3,13.1,2000,Victoria,BC
2000-01-12,4.5,2.0,0.8,25.9,2000,Victoria,BC
2000-01-13,5.8,0.8,0.9,18.1,2000,Victoria,BC
2000-01-14,5.4,2.8,4.5,19.4,2000,Victoria,BC
2000-01-15,5.9,3.4,0.4,16.4,2000,Victoria,BC
2000-01-16,6.5,1.5,16.7,28.7,2000,Victoria,BC
2000-01-17,5.9,3.1,1.7,22.3,2000,Victoria,BC
2000-01-18,5.3,1.7,0.0,10.2,2000,Victoria,BC
2000-01-19,4.5,1.8,0.3,13.3,2000,Victoria,BC
2000-01-20,5.8,1.7,6.6,12.2,2000,Victoria,BC
2000-01-21,5.5,2.8,1.3,9.0,2000,Victoria,BC
2000-01-22,5.5,3.7,1.7,11.6,2000,Victoria,BC
2000-01-23,7.0,3.3,0.0,10.5,2000,Victoria,BC
2000-01-24,6.1,3.1,0.6,13.7,2000,Victoria,BC
2000-01-25,6.0,3.4,2.0,13.7,2000,Victoria,BC
2000-01-26,6.2,2.2,0.0,13.0,2000,Victoria,BC
2000-01-27,5.8,3.4,0.0,9.5,2000,Victoria,BC
2000-01-28,5.0,1.7,0.0,11.6,2000,Victoria,BC
2000-01-29,6.0,0.9,0.0,11.5,2000,Victoria,BC
2000-01-30,7.0,2.2,1.8,15.9,2000,Victoria,BC
2000-01-31,7.4,2.4,5.4,31.9,2000,Victoria,BC
2000-02-01,8.2,5.2,14.1,23.2,2000,Victoria,BC
2000-02-02,6.9,3.1,0.0,17.4,2000,Victoria,BC
2000-02-03,8.5,4.4,0.0,16.8,2000,Victoria,BC
2000-02-04,7.8,3.7,0.0,14.5,2000,Victoria,BC
2000-02-05,6.9,4.0,0.1,11.4,2000,Victoria,BC
2000-02-06,8.0,4.9,2.7,12.1,2000,Victoria,BC
2000-02-07,8.7,6.1,3.0,13.7,2000,Victoria,BC
2000-02-08,8.6,5.2,8.2,20.0,2000,Victoria,BC
2000-02-09,7.5,5.0,1.4,10.4,2000,Victoria,BC
2000-02-10,7.8,2.5,0.0,9.4,2000,Victoria,BC
2000-02-11,6.3,2.3,0.0,7.6,2000,Victoria,BC
2000-02-12,6.3,2.8,0.0,8.3,2000,Victoria,BC
2000-02-13,7.0,0.6,0.0,16.4,2000,Victoria,BC
2000-02-14,5.1,2.7,0.1,16.4,2000,Victoria,BC
2000-02-15,6.5,2.1,0.2,18.1,2000,Victoria,BC
2000-02-16,6.9,1.2,0.0,12.3,2000,Victoria,BC
2000-02-17,6.2,1.0,0.0,10.6,2000,Victoria,BC
2000-02-18,5.7,1.4,0.0,8.2,2000,Victoria,BC
2000-02-19,7.2,1.4,0.0,10.2,2000,Victoria,BC
2000-02-20,8.3,1.2,0.0,9.8,2000,Victoria,BC
2000-02-21,8.0,4.3,2.7,11.2,2000,Victoria,BC
2000-02-22,8.7,5.5,8.5,24.2,2000,Victoria,BC
2000-02-23,7.5,2.5,0.0,8.9,2000,Victoria,BC
2000-02-24,7.0,2.1,0.0,8.0,2000,Victoria,BC
2000-02-25,7.1,1.8,3.8,14.7,2000,Victoria,BC
2000-02-26,8.6,-0.0,0.8,17.1,2000,Victoria,BC
2000-02-27,8.0,5.4,8.7,13.5,2000,Victoria,BC
2000-02-28,6.8,4.0,5.7,15.5,2000,Victoria,BC
2000-02-29,7.2,5.3,16.1,14.7,2000,Victoria,BC
2000-03-01,6.5,3.6,7.3,14.0,2000,Victoria,BC
2000-03-02,9.4,5.6,5.2,15.8,2000,Victoria,BC
2000-03-03,7.2,5.6,10.4,6.5,2000,Victoria,BC
2000-03-04,9.3,4.3,1.5,12.9,2000,Victoria,BC
2000-03-05,8.5,1.1,0.0,8.7,2000,Victoria,BC
2000-03-06,7.3,2.1,0.0,9.6,2000,Victoria,BC
2000-03-07,7.6,1.8,0.0,13.8,2000,Victoria,BC
2000-03-08,7.6,5.4,0.0,10.8,2000,Victoria,BC
2000-03-09,8.8,3.2,0.5,8.0,2000,Victoria,BC
2000-03-10,8.9,2.7,1.0,19.5,2000,Victoria,BC
2000-03-11,8.3,4.6,2.0,20.3,2000,Victoria,BC
2000-03-12,6.8,3.2,2.8,8.8,2000,Victoria,BC
2000-03-13,8.9,5.6,9.1,15.0,2000,Victoria,BC
2000-03-14,8.0,4.6,3.6,36.4,2000,Victoria,BC
2000-03-15,7.6,2.0,2.4,12.6,2000,Victoria,BC
2000-03-16,8.5,5.3,7.5,30.4,2000,Victoria,BC
2000-03-17,8.5,4.7,8.4,18.9,2000,Victoria,BC
2000-03-18,8.6,4.5,8.7,30.2,2000,Victoria,BC
2000-03-19,7.5,3.7,2.7,22.5,2000,Victoria,BC
2000-03-20,8.1,4.1,1.2,7.6,2000,Victoria,BC
2000-03-21,8.9,4.7,1.2,8.0,2000,Victoria,BC
2000-03-22,9.8,5.3,9.7,25.6,2000,Victoria,BC
2000-03-23,9.2,5.1,0.3,23.5,2000,Victoria,BC
2000-03-24,8.3,3.5,0.0,9.3,2000,Victoria,BC
2000-03-25,9.6,6.1,0.1,10.6,2000,Victoria,BC
2000-03-26,9.2,5.5,0.0,7.7,2000,Victoria,BC
2000-03-27,9.1,5.4,7.0,19.5,2000,Victoria,BC
2000-03-28,7.5,4.5,0.0,21.8,2000,Victoria,BC
2000-03-29,8.9,4.0,0.0,15.4,2000,Victoria,BC
2000-03-30,10.7,5.2,0.0,8.5,2000,Victoria,BC
2000-03-31,12.6,4.7,0.0,7.6,2000,Victoria,BC
2000-04-01,13.5,6.4,0.0,7.4,2000,Victoria,BC
2000-04-02,12.8,4.6,0.0,7.6,2000,Victoria,BC
2000-04-03,13.9,6.8,0.0,17.9,2000,Victoria,BC
2000-04-04,8.9,6.1,0.2,27.7,2000,Victoria,BC
2000-04-05,8.0,4.8,4.0,18.3,2000,Victoria,BC
2000-04-06,9.3,4.2,0.1,18.3,2000,Victoria,BC
2000-04-07,10.5,4.7,0.0,9.9,2000,Victoria,BC
2000-04-08,15.5,6.9,0.0,10.9,2000,Victoria,BC
2000-04-09,13.7,6.8,0.0,12.4,2000,Victoria,BC
2000-04-10,12.9,5.7,0.0,12.0,2000,Victoria,BC
2000-04-11,14.5,7.9,0.0,8.4,2000,Victoria,BC
2000-04-12,14.9,8.6,0.0,7.7,2000,Victoria,BC
2000-04-13,13.1,9.9,2.3,18.7,2000,Victoria,BC
2000-04-14,9.8,7.9,4.2,19.5,2000,Victoria,BC
2000-04-15,10.6,7.1,1.9,9.5,2000,Victoria,BC
2000-04-16,12.6,7.7,0.0,7.9,2000,Victoria,BC
2000-04-17,13.4,5.6,0.0,10.5,2000,Victoria,BC
2000-04-18,13.6,6.3,0.0,23.2,2000,Victoria,BC
2000-04-19,10.4,6.0,0.0,17.0,2000,Victoria,BC
2000-04-20,12.4,8.8,0.0,6.4,2000,Victoria,BC
2000-04-21,11.8,8.6,4.8,12.9,2000,Victoria,BC
2000-04-22,10.6,6.1,2.0,24.9,2000,Victoria,BC
2000-04-23,8.0,5.5,5.2,24.8,2000,Victoria,BC
2000-04-24,9.2,4.5,0.0,17.6,2000,Victoria,BC
2000-04-25,10.3,7.0,4.8,19.4,2000,Victoria,BC
2000-04-26,11.2,4.9,0.2,16.1,2000,Victoria,BC
2000-04-27,11.1,7.6,4.1,18.6,2000,Victoria,BC
2000-04-28,9.9,5.6,5.1,15.4,2000,Victoria,BC
2000-04-29,9.9,4.9,1.3,10.7,2000,Victoria,BC
2000-04-30,9.6,7.6,12.0,9.7,2000,Victoria,BC
2000-05-01,12.0,8.2,3.3,8.0,2000,Victoria,BC
2000-05-02,12.8,6.7,1.3,8.8,2000,Victoria,BC
2000-05-03,10.9,8.0,3.8,17.6,2000,Victoria,BC
2000-05-04,10.9,7.3,1.3,11.9,2000,Victoria,BC
2000-05-05,9.7,5.2,0.1,12.8,2000,Victoria,BC
2000-05-06,10.5,6.0,0.0,7.8,2000,Victoria,BC
2000-05-07,12.3,5.2,0.0,8.9,2000,Victoria,BC
2000-05-08,11.7,6.3,0.2,13.3,2000,Victoria,BC
2000-05-09,9.7,7.0,2.1,12.8,2000,Victoria,BC
2000-05-10,11.1,6.6,8.3,20.0,2000,Victoria,BC
2000-05-11,12.1,7.6,0.5,23.7,2000,Victoria,BC
2000-05-12,11.2,6.9,0.0,18.4,2000,Victoria,BC
2000-05-13,15.2,7.1,0.0,9.8,2000,Victoria,BC
2000-05-14,17.3,10.8,0.0,8.0,2000,Victoria,BC
2000-05-15,17.5,10.9,0.0,12.7,2000,Victoria,BC
2000-05-16,17.5,9.9,0.0,25.8,2000,Victoria,BC
2000-05-17,13.4,9.3,0.6,21.8,2000,Victoria,BC
2000-05-18,13.8,9.8,6.1,7.9,2000,Victoria,BC
2000-05-19,14.9,10.8,2.9,15.5,2000,Victoria,BC
2000-05-20,12.0,9.7,4.3,13.7,2000,Victoria,BC
2000-05-21,12.8,9.9,4.5,15.8,2000,Victoria,BC
2000-05-22,12.3,8.8,0.0,20.7,2000,Victoria,BC
2000-05-23,13.7,7.4,0.0,18.9,2000,Victoria,BC
2000-05-24,14.3,8.9,0.0,14.0,2000,Victoria,BC
2000-05-25,13.0,7.6,0.2,13.7,2000,Victoria,BC
2000-05-26,12.5,6.9,6.7,12.7,2000,Victoria,BC
