time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2001-01-01,-0.8,-7.3,0.6,8.9,2001,Frankfort,KY
2001-01-02,-2.8,-8.9,0.0,9.9,2001,Frankfort,KY
2001-01-03,-1.6,-13.6,0.0,17.1,2001,Frankfort,KY
2001-01-04,1.9,-6.3,0.0,13.2,2001,Frankfort,KY
2001-01-05,5.8,-1.6,0.0,22.3,2001,Frankfort,KY
2001-01-06,5.9,-4.5,0.0,16.3,2001,Frankfort,KY
2001-01-07,8.6,-0.2,0.0,16.0,2001,Frankfort,KY
2001-01-08,0.4,-1.9,0.0,13.5,2001,Frankfort,KY
2001-01-09,0.1,-4.1,0.0,14.2,2001,Frankfort,KY
2001-01-10,5.7,-6.2,0.0,11.0,2001,Frankfort,KY
2001-01-11,7.2,-4.1,0.0,9.3,2001,Frankfort,KY
2001-01-12,8.4,-0.0,0.0,8.9,2001,Frankfort,KY
2001-01-13,10.0,-2.4,0.0,12.8,2001,Frankfort,KY
2001-01-14,7.5,0.8,0.8,16.8,2001,Frankfort,KY
2001-01-15,6.8,2.4,0.1,17.5,2001,Frankfort,KY
2001-01-16,4.5,-0.5,0.0,11.6,2001,Frankfort,KY
2001-01-17,4.6,-1.4,0.0,7.9,2001,Frankfort,KY
2001-01-18,6.6,0.1,3.4,6.5,2001,Frankfort,KY
2001-01-19,2.0,-0.5,22.3,14.8,2001,Frankfort,KY
2001-01-20,-0.7,-9.9,5.9,16.1,2001,Frankfort,KY
2001-01-21,-1.1,-16.7,0.0,10.7,2001,Frankfort,KY
2001-01-22,3.9,-12.4,0.0,9.2,2001,Frankfort,KY
2001-01-23,5.5,-8.7,0.0,11.0,2001,Frankfort,KY
2001-01-24,5.4,-4.9,0.0,16.6,2001,Frankfort,KY
2001-01-25,0.8,-3.8,0.0,18.8,2001,Frankfort,KY
2001-01-26,3.3,-10.3,2.4,21.3,2001,Frankfort,KY
2001-01-27,2.7,-4.7,0.3,19.7,2001,Frankfort,KY
2001-01-28,2.1,-5.7,0.0,10.2,2001,Frankfort,KY
2001-01-29,12.7,-0.0,11.3,18.8,2001,Frankfort,KY
2001-01-30,12.4,5.3,6.9,30.7,2001,Frankfort,KY
2001-01-31,5.2,0.6,1.8,14.2,2001,Frankfort,KY
2001-02-01,5.1,-0.5,0.0,11.4,2001,Frankfort,KY
2001-02-02,0.6,-6.1,0.7,20.1,2001,Frankfort,KY
2001-02-03,4.5,-7.9,0.0,11.6,2001,Frankfort,KY
2001-02-04,7.6,-1.0,0.3,14.1,2001,Frankfort,KY
2001-02-05,4.0,0.4,1.4,16.3,2001,Frankfort,KY
2001-02-06,10.9,-0.4,0.0,16.1,2001,Frankfort,KY
2001-02-07,12.0,1.0,0.0,13.2,2001,Frankfort,KY
2001-02-08,19.5,6.2,0.0,18.4,2001,Frankfort,KY
2001-02-09,20.5,8.1,14.1,29.2,2001,Frankfort,KY
2001-02-10,4.2,-1.5,0.2,26.4,2001,Frankfort,KY
2001-02-11,4.2,-3.7,0.0,12.7,2001,Frankfort,KY
2001-02-12,6.7,-1.3,0.1,11.9,2001,Frankfort,KY
2001-02-13,10.6,4.6,0.5,9.7,2001,Frankfort,KY
2001-02-14,15.0,7.5,8.9,19.7,2001,Frankfort,KY
2001-02-15,15.1,8.2,10.8,15.7,2001,Frankfort,KY
2001-02-16,8.7,2.4,13.0,14.6,2001,Frankfort,KY
2001-02-17,1.9,-4.0,0.0,18.4,2001,Frankfort,KY
2001-02-18,1.9,-6.8,0.0,9.2,2001,Frankfort,KY
2001-02-19,11.0,-2.5,0.0,19.2,2001,Frankfort,KY
2001-02-20,14.2,3.9,0.6,16.1,2001,Frankfort,KY
2001-02-21,7.2,-0.6,0.0,12.9,2001,Frankfort,KY
2001-02-22,3.5,-2.2,8.2,13.7,2001,Frankfort,KY
2001-02-23,8.3,-2.5,0.0,10.2,2001,Frankfort,KY
2001-02-24,18.2,2.1,0.5,26.3,2001,Frankfort,KY
2001-02-25,17.7,7.6,6.1,32.7,2001,Frankfort,KY
2001-02-26,11.0,0.5,0.0,15.5,2001,Frankfort,KY
2001-02-27,9.8,0.3,0.0,13.5,2001,Frankfort,KY
2001-02-28,6.4,-0.5,0.0,13.1,2001,Frankfort,KY
2001-03-01,8.2,-3.0,0.0,9.0,2001,Frankfort,KY
2001-03-02,9.0,3.2,1.5,13.0,2001,Frankfort,KY
2001-03-03,11.7,1.7,0.0,11.6,2001,Frankfort,KY
2001-03-04,6.7,3.0,22.3,19.7,2001,Frankfort,KY
2001-03-05,2.7,-2.1,0.0,25.4,2001,Frankfort,KY
2001-03-06,4.4,-3.3,0.0,28.5,2001,Frankfort,KY
2001-03-07,7.4,-2.5,0.0,13.0,2001,Frankfort,KY
2001-03-08,9.3,-0.7,0.0,19.6,2001,Frankfort,KY
2001-03-09,4.5,-1.8,0.0,11.7,2001,Frankfort,KY
2001-03-10,9.8,-2.9,0.0,10.8,2001,Frankfort,KY
2001-03-11,16.5,2.1,0.0,14.0,2001,Frankfort,KY
2001-03-12,15.6,4.0,2.5,15.5,2001,Frankfort,KY
2001-03-13,13.3,6.2,2.5,32.4,2001,Frankfort,KY
2001-03-14,14.7,2.1,0.0,15.7,2001,Frankfort,KY
2001-03-15,12.9,6.2,2.5,13.3,2001,Frankfort,KY
2001-03-16,13.3,6.9,6.1,19.3,2001,Frankfort,KY
2001-03-17,7.0,3.0,0.0,18.1,2001,Frankfort,KY
2001-03-18,10.1,0.2,0.0,13.7,2001,Frankfort,KY
2001-03-19,13.0,-0.1,0.0,13.7,2001,Frankfort,KY
2001-03-20,8.8,3.1,5.7,18.6,2001,Frankfort,KY
2001-03-21,11.9,3.2,4.9,21.1,2001,Frankfort,KY
2001-03-22,14.6,2.4,0.0,11.2,2001,Frankfort,KY
2001-03-23,16.4,3.1,0.0,15.3,2001,Frankfort,KY
2001-03-24,8.9,1.9,1.2,16.1,2001,Frankfort,KY
2001-03-25,6.1,-2.0,0.0,20.0,2001,Frankfort,KY
2001-03-26,3.0,-3.9,0.0,14.8,2001,Frankfort,KY
2001-03-27,6.1,-3.4,0.0,9.1,2001,Frankfort,KY
2001-03-28,11.7,-2.4,0.0,10.1,2001,Frankfort,KY
2001-03-29,11.8,3.7,1.3,13.2,2001,Frankfort,KY
2001-03-30,13.6,4.8,5.1,10.9,2001,Frankfort,KY
2001-03-31,12.3,5.7,2.1,8.9,2001,Frankfort,KY
2001-04-01,10.1,2.1,7.9,24.9,2001,Frankfort,KY
2001-04-02,15.1,1.6,0.6,9.4,2001,Frankfort,KY
2001-04-03,18.7,7.9,7.8,13.1,2001,Frankfort,KY
2001-04-04,18.1,5.1,0.0,15.4,2001,Frankfort,KY
2001-04-05,22.5,7.4,0.0,13.0,2001,Frankfort,KY
2001-04-06,25.5,15.9,8.1,21.5,2001,Frankfort,KY
2001-04-07,27.8,19.1,0.0,23.4,2001,Frankfort,KY
2001-04-08,27.2,19.0,1.5,21.7,2001,Frankfort,KY
2001-04-09,27.5,17.9,0.3,17.3,2001,Frankfort,KY
2001-04-10,27.3,18.7,1.5,15.5,2001,Frankfort,KY
2001-04-11,28.2,17.5,1.3,19.6,2001,Frankfort,KY
2001-04-12,26.7,18.5,1.5,26.1,2001,Frankfort,KY
2001-04-13,21.5,13.5,1.6,10.9,2001,Frankfort,KY
2001-04-14,23.9,9.4,0.1,15.6,2001,Frankfort,KY
2001-04-15,17.6,10.7,3.6,23.7,2001,Frankfort,KY
2001-04-16,13.8,6.5,0.0,22.7,2001,Frankfort,KY
2001-04-17,7.0,0.1,1.9,23.9,2001,Frankfort,KY
2001-04-18,12.1,-0.4,0.0,13.5,2001,Frankfort,KY
2001-04-19,18.4,2.8,0.0,13.8,2001,Frankfort,KY
2001-04-20,16.5,11.1,3.8,22.2,2001,Frankfort,KY
2001-04-21,24.2,15.6,1.3,26.8,2001,Frankfort,KY
2001-04-22,26.9,16.9,0.0,15.9,2001,Frankfort,KY
2001-04-23,27.0,18.0,0.0,22.9,2001,Frankfort,KY
2001-04-24,19.1,9.4,4.5,19.4,2001,Frankfort,KY
2001-04-25,17.0,5.6,0.0,12.0,2001,Frankfort,KY
