time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2008-01-01,-1.8,-9.2,0.0,28.4,2008,Jefferson City,MO
2008-01-02,-4.9,-11.5,0.0,19.9,2008,Jefferson City,MO
2008-01-03,2.8,-9.0,0.0,18.0,2008,Jefferson City,MO
2008-01-04,7.5,-2.1,0.7,19.1,2008,Jefferson City,MO
2008-01-05,12.8,4.5,0.0,19.5,2008,Jefferson City,MO
2008-01-06,20.3,10.7,0.0,21.4,2008,Jefferson City,MO
2008-01-07,20.1,14.4,12.4,22.4,2008,Jefferson City,MO
2008-01-08,14.7,3.2,33.2,21.8,2008,Jefferson City,MO
2008-01-09,8.6,-1.5,0.0,14.5,2008,Jefferson City,MO
2008-01-10,7.5,1.2,3.6,18.4,2008,Jefferson City,MO
2008-01-11,7.0,-1.5,0.0,17.7,2008,Jefferson City,MO
2008-01-12,9.6,0.1,0.0,15.0,2008,Jefferson City,MO
2008-01-13,0.3,-2.5,0.0,14.9,2008,Jefferson City,MO
2008-01-14,0.6,-3.6,0.0,16.0,2008,Jefferson City,MO
2008-01-15,3.6,-6.3,0.0,15.9,2008,Jefferson City,MO
2008-01-16,9.5,-1.3,0.0,16.1,2008,Jefferson City,MO
2008-01-17,1.2,-4.5,1.4,19.3,2008,Jefferson City,MO
2008-01-18,3.5,-7.3,0.0,18.5,2008,Jefferson City,MO
2008-01-19,-7.6,-12.9,0.0,18.4,2008,Jefferson City,MO
2008-01-20,-2.7,-11.4,0.0,13.1,2008,Jefferson City,MO
2008-01-21,3.8,-6.3,1.0,17.6,2008,Jefferson City,MO
2008-01-22,0.3,-7.6,0.6,17.9,2008,Jefferson City,MO
2008-01-23,4.4,-9.3,0.0,17.7,2008,Jefferson City,MO
2008-01-24,-5.1,-14.0,0.0,19.0,2008,Jefferson City,MO
2008-01-25,-0.1,-10.4,0.3,13.6,2008,Jefferson City,MO
2008-01-26,9.7,-3.2,0.0,18.4,2008,Jefferson City,MO
2008-01-27,12.3,-2.3,0.0,17.0,2008,Jefferson City,MO
2008-01-28,15.0,2.0,0.0,24.7,2008,Jefferson City,MO
2008-01-29,14.4,-6.6,2.0,32.0,2008,Jefferson City,MO
2008-01-30,2.2,-8.6,0.0,19.1,2008,Jefferson City,MO
2008-01-31,1.0,-4.2,2.9,15.9,2008,Jefferson City,MO
2008-02-01,4.8,-4.9,0.5,17.6,2008,Jefferson City,MO
2008-02-02,9.2,-1.8,0.0,15.7,2008,Jefferson City,MO
2008-02-03,9.2,-2.6,3.2,16.1,2008,Jefferson City,MO
2008-02-04,20.3,7.7,2.6,21.7,2008,Jefferson City,MO
2008-02-05,13.0,1.4,20.1,14.4,2008,Jefferson City,MO
2008-02-06,2.3,-1.1,4.1,22.1,2008,Jefferson City,MO
2008-02-07,6.6,-1.5,0.0,13.3,2008,Jefferson City,MO
2008-02-08,7.8,-2.0,0.0,14.8,2008,Jefferson City,MO
2008-02-09,10.3,-0.8,0.0,22.1,2008,Jefferson City,MO
2008-02-10,-0.5,-6.8,0.0,17.1,2008,Jefferson City,MO
2008-02-11,-3.4,-8.5,1.6,13.3,2008,Jefferson City,MO
2008-02-12,-2.3,-7.5,0.4,16.3,2008,Jefferson City,MO
2008-02-13,3.3,-9.8,0.0,14.5,2008,Jefferson City,MO
2008-02-14,12.8,-2.0,0.0,18.4,2008,Jefferson City,MO
2008-02-15,2.7,-3.9,0.0,14.3,2008,Jefferson City,MO
2008-02-16,1.7,-3.3,6.1,13.7,2008,Jefferson City,MO
2008-02-17,8.1,0.6,19.4,24.9,2008,Jefferson City,MO
2008-02-18,2.5,-5.5,0.0,25.9,2008,Jefferson City,MO
2008-02-19,4.1,-8.2,0.0,17.1,2008,Jefferson City,MO
2008-02-20,-0.7,-6.9,0.0,17.2,2008,Jefferson City,MO
2008-02-21,-4.9,-7.1,6.8,15.1,2008,Jefferson City,MO
2008-02-22,-0.9,-4.8,2.3,8.6,2008,Jefferson City,MO
2008-02-23,6.9,-3.9,0.0,10.5,2008,Jefferson City,MO
2008-02-24,6.1,-0.9,3.3,10.8,2008,Jefferson City,MO
2008-02-25,10.7,-1.7,1.3,19.0,2008,Jefferson City,MO
2008-02-26,4.0,-3.0,0.7,28.5,2008,Jefferson City,MO
2008-02-27,4.0,-3.1,0.0,18.2,2008,Jefferson City,MO
2008-02-28,6.6,-3.5,0.0,15.0,2008,Jefferson City,MO
2008-02-29,11.2,-0.1,0.0,15.3,2008,Jefferson City,MO
2008-03-01,18.0,-1.4,0.0,19.8,2008,Jefferson City,MO
2008-03-02,22.9,8.6,0.0,23.9,2008,Jefferson City,MO
2008-03-03,16.0,-3.7,25.2,21.3,2008,Jefferson City,MO
2008-03-04,5.7,-4.6,0.7,16.9,2008,Jefferson City,MO
2008-03-05,10.9,-3.5,0.0,16.1,2008,Jefferson City,MO
2008-03-06,5.0,-2.2,0.0,12.7,2008,Jefferson City,MO
2008-03-07,4.2,-2.5,0.0,17.2,2008,Jefferson City,MO
2008-03-08,4.0,-5.8,0.0,13.1,2008,Jefferson City,MO
2008-03-09,10.8,-2.1,0.0,11.4,2008,Jefferson City,MO
2008-03-10,6.8,-1.8,0.0,11.6,2008,Jefferson City,MO
2008-03-11,14.2,-3.0,0.0,15.1,2008,Jefferson City,MO
2008-03-12,22.1,2.9,0.0,17.0,2008,Jefferson City,MO
2008-03-13,14.0,4.6,8.9,13.1,2008,Jefferson City,MO
2008-03-14,16.5,2.9,2.3,12.5,2008,Jefferson City,MO
2008-03-15,8.9,4.5,3.8,16.2,2008,Jefferson City,MO
2008-03-16,8.6,0.9,0.0,16.0,2008,Jefferson City,MO
2008-03-17,13.7,3.6,17.8,19.2,2008,Jefferson City,MO
2008-03-18,11.0,6.7,41.8,15.0,2008,Jefferson City,MO
2008-03-19,11.4,2.7,7.4,18.0,2008,Jefferson City,MO
2008-03-20,18.5,2.5,0.0,19.2,2008,Jefferson City,MO
2008-03-21,19.7,8.8,0.0,22.1,2008,Jefferson City,MO
2008-03-22,10.7,2.8,0.0,15.4,2008,Jefferson City,MO
2008-03-23,6.2,0.8,0.0,19.4,2008,Jefferson City,MO
2008-03-24,11.1,-2.1,0.0,20.2,2008,Jefferson City,MO
2008-03-25,17.0,6.5,0.0,22.5,2008,Jefferson City,MO
2008-03-26,12.6,4.5,15.3,14.8,2008,Jefferson City,MO
2008-03-27,16.9,4.4,14.6,20.1,2008,Jefferson City,MO
2008-03-28,11.2,2.3,0.0,15.8,2008,Jefferson City,MO
2008-03-29,9.5,2.1,1.1,16.2,2008,Jefferson City,MO
2008-03-30,14.9,6.4,8.1,12.6,2008,Jefferson City,MO
2008-03-31,19.7,10.6,7.9,28.3,2008,Jefferson City,MO
2008-04-01,9.5,3.6,0.0,19.3,2008,Jefferson City,MO
2008-04-02,13.9,0.4,0.0,14.0,2008,Jefferson City,MO
2008-04-03,9.9,5.0,21.5,12.8,2008,Jefferson City,MO
2008-04-04,11.8,4.3,0.0,16.1,2008,Jefferson City,MO
2008-04-05,16.3,1.9,0.0,15.3,2008,Jefferson City,MO
2008-04-06,20.4,6.0,0.0,15.6,2008,Jefferson City,MO
2008-04-07,17.2,5.7,0.0,12.3,2008,Jefferson City,MO
2008-04-08,16.1,6.4,6.8,19.5,2008,Jefferson City,MO
2008-04-09,15.6,3.7,5.8,18.0,2008,Jefferson City,MO
2008-04-10,22.2,9.5,45.2,32.4,2008,Jefferson City,MO
2008-04-11,17.0,5.8,0.0,31.9,2008,Jefferson City,MO
2008-04-12,6.0,3.2,0.4,24.3,2008,Jefferson City,MO
2008-04-13,6.2,1.6,0.0,15.8,2008,Jefferson City,MO
2008-04-14,11.8,-0.0,0.0,12.5,2008,Jefferson City,MO
2008-04-15,17.1,1.4,0.0,21.0,2008,Jefferson City,MO
2008-04-16,22.4,8.4,0.0,22.0,2008,Jefferson City,MO
2008-04-17,22.0,13.2,0.8,20.5,2008,Jefferson City,MO
2008-04-18,16.2,9.3,9.6,18.2,2008,Jefferson City,MO
2008-04-19,13.6,8.0,1.0,15.9,2008,Jefferson City,MO
2008-04-20,22.2,6.7,0.0,15.2,2008,Jefferson City,MO
2008-04-21,26.2,11.9,0.0,16.7,2008,Jefferson City,MO
2008-04-22,25.2,15.3,2.2,12.8,2008,Jefferson City,MO
2008-04-23,26.0,15.2,0.0,11.9,2008,Jefferson City,MO
2008-04-24,23.2,16.0,16.4,20.1,2008,Jefferson City,MO
2008-04-25,23.9,10.4,11.9,24.2,2008,Jefferson City,MO
2008-04-26,16.6,6.3,0.1,15.0,2008,Jefferson City,MO
2008-04-27,10.0,6.5,4.9,12.3,2008,Jefferson City,MO
2008-04-28,11.5,4.6,0.7,22.7,2008,Jefferson City,MO
2008-04-29,15.3,2.3,0.0,14.1,2008,Jefferson City,MO
2008-04-30,24.4,7.8,0.0,19.6,2008,Jefferson City,MO
2008-05-01,23.3,15.2,0.0,23.2,2008,Jefferson City,MO
2008-05-02,20.7,13.9,7.2,26.9,2008,Jefferson City,MO
2008-05-03,15.5,8.7,0.1,24.6,2008,Jefferson City,MO
2008-05-04,19.3,5.7,0.0,7.6,2008,Jefferson City,MO
2008-05-05,23.9,8.2,0.0,8.8,2008,Jefferson City,MO
2008-05-06,22.4,12.8,0.4,18.7,2008,Jefferson City,MO
2008-05-07,18.6,15.7,39.3,17.4,2008,Jefferson City,MO
2008-05-08,19.6,13.3,15.7,13.6,2008,Jefferson City,MO
2008-05-09,16.3,11.0,11.1,11.2,2008,Jefferson City,MO
2008-05-10,20.6,8.7,18.8,27.7,2008,Jefferson City,MO
2008-05-11,15.8,6.9,2.6,33.9,2008,Jefferson City,MO
2008-05-12,20.8,6.9,0.0,17.1,2008,Jefferson City,MO
2008-05-13,24.2,11.6,4.8,20.9,2008,Jefferson City,MO
2008-05-14,19.6,12.0,1.6,15.7,2008,Jefferson City,MO
2008-05-15,16.4,9.3,5.8,12.8,2008,Jefferson City,MO
2008-05-16,20.8,6.0,0.1,13.7,2008,Jefferson City,MO
2008-05-17,25.9,12.8,0.2,15.6,2008,Jefferson City,MO
2008-05-18,22.6,13.1,0.0,18.9,2008,Jefferson City,MO
2008-05-19,27.0,11.7,0.1,18.0,2008,Jefferson City,MO
2008-05-20,20.7,13.8,0.0,17.5,2008,Jefferson City,MO
2008-05-21,22.4,10.8,0.0,11.0,2008,Jefferson City,MO
2008-05-22,20.6,13.0,2.8,18.5,2008,Jefferson City,MO
2008-05-23,26.2,14.1,1.1,18.7,2008,Jefferson City,MO
2008-05-24,20.0,15.2,0.1,18.0,2008,Jefferson City,MO
2008-05-25,29.6,16.9,0.4,16.6,2008,Jefferson City,MO
2008-05-26,27.1,20.4,17.1,13.4,2008,Jefferson City,MO
2008-05-27,22.3,14.4,11.6,15.7,2008,Jefferson City,MO
2008-05-28,21.2,12.3,0.0,12.4,2008,Jefferson City,MO
2008-05-29,27.5,14.2,0.0,16.8,2008,Jefferson City,MO
2008-05-30,29.3,19.8,1.9,23.8,2008,Jefferson City,MO
2008-05-31,30.4,19.2,1.4,15.6,2008,Jefferson City,MO
2008-06-01,28.8,17.3,0.7,11.2,2008,Jefferson City,MO
2008-06-02,27.4,17.6,0.5,10.5,2008,Jefferson City,MO
2008-06-03,31.2,20.3,7.7,20.8,2008,Jefferson City,MO
2008-06-04,29.8,19.5,16.3,24.1,2008,Jefferson City,MO
2008-06-05,30.3,24.0,0.0,27.1,2008,Jefferson City,MO
2008-06-06,28.1,22.5,6.7,28.3,2008,Jefferson City,MO
2008-06-07,31.5,22.6,1.2,24.0,2008,Jefferson City,MO
2008-06-08,31.4,23.3,5.8,22.7,2008,Jefferson City,MO
2008-06-09,22.5,18.0,75.0,16.3,2008,Jefferson City,MO
2008-06-10,28.1,16.4,0.0,15.5,2008,Jefferson City,MO
2008-06-11,29.9,19.4,0.0,21.7,2008,Jefferson City,MO
2008-06-12,32.3,22.7,0.1,22.0,2008,Jefferson City,MO
2008-06-13,26.3,20.8,7.3,16.3,2008,Jefferson City,MO
2008-06-14,28.5,16.0,0.0,9.1,2008,Jefferson City,MO
2008-06-15,30.0,18.1,0.0,11.2,2008,Jefferson City,MO
2008-06-16,27.2,19.0,0.2,12.6,2008,Jefferson City,MO
2008-06-17,26.3,15.2,0.0,8.4,2008,Jefferson City,MO
2008-06-18,27.4,16.2,0.4,5.8,2008,Jefferson City,MO
2008-06-19,28.6,17.5,0.0,11.9,2008,Jefferson City,MO
2008-06-20,25.7,18.2,17.5,7.5,2008,Jefferson City,MO
2008-06-21,28.3,17.1,0.4,11.8,2008,Jefferson City,MO
2008-06-22,26.9,17.4,2.3,9.5,2008,Jefferson City,MO
2008-06-23,28.7,17.3,0.0,11.8,2008,Jefferson City,MO
2008-06-24,29.3,18.0,0.0,13.5,2008,Jefferson City,MO
2008-06-25,32.0,21.5,0.0,13.8,2008,Jefferson City,MO
2008-06-26,31.5,22.2,0.0,14.1,2008,Jefferson City,MO
2008-06-27,30.2,22.9,9.7,18.4,2008,Jefferson City,MO
2008-06-28,27.2,20.4,17.3,18.4,2008,Jefferson City,MO
2008-06-29,24.4,19.7,0.3,24.0,2008,Jefferson City,MO
2008-06-30,26.1,16.9,0.0,11.4,2008,Jefferson City,MO
2008-07-01,29.0,16.5,0.0,13.0,2008,Jefferson City,MO
2008-07-02,30.7,19.9,1.3,16.9,2008,Jefferson City,MO
2008-07-03,24.7,19.8,12.2,13.4,2008,Jefferson City,MO
2008-07-04,25.6,18.0,0.0,10.6,2008,Jefferson City,MO
2008-07-05,27.7,16.1,0.0,10.8,2008,Jefferson City,MO
2008-07-06,32.5,19.0,0.0,11.6,2008,Jefferson City,MO
2008-07-07,33.1,22.7,0.2,14.6,2008,Jefferson City,MO
2008-07-08,32.1,22.7,13.4,16.6,2008,Jefferson City,MO
2008-07-09,28.5,21.5,11.7,8.7,2008,Jefferson City,MO
2008-07-10,30.3,20.9,0.0,10.5,2008,Jefferson City,MO
2008-07-11,32.1,22.4,1.0,13.3,2008,Jefferson City,MO
2008-07-12,31.0,20.4,9.1,14.8,2008,Jefferson City,MO
2008-07-13,28.7,17.0,0.0,11.6,2008,Jefferson City,MO
2008-07-14,30.5,18.0,0.0,8.7,2008,Jefferson City,MO
2008-07-15,31.6,19.6,0.0,11.8,2008,Jefferson City,MO
2008-07-16,32.7,20.0,0.0,10.1,2008,Jefferson City,MO
2008-07-17,32.8,20.4,0.0,10.9,2008,Jefferson City,MO
2008-07-18,32.7,20.4,0.4,10.2,2008,Jefferson City,MO
2008-07-19,33.1,24.0,0.0,14.9,2008,Jefferson City,MO
2008-07-20,36.4,23.9,0.0,14.5,2008,Jefferson City,MO
2008-07-21,36.2,24.1,0.0,11.3,2008,Jefferson City,MO
2008-07-22,32.6,23.2,1.4,12.2,2008,Jefferson City,MO
2008-07-23,29.6,22.7,1.1,12.6,2008,Jefferson City,MO
2008-07-24,29.1,20.7,3.1,12.2,2008,Jefferson City,MO
2008-07-25,31.6,23.2,6.9,13.0,2008,Jefferson City,MO
2008-07-26,32.1,22.5,0.1,11.0,2008,Jefferson City,MO
2008-07-27,33.9,22.9,0.0,13.8,2008,Jefferson City,MO
2008-07-28,34.0,22.5,12.4,21.4,2008,Jefferson City,MO
2008-07-29,34.8,23.8,1.2,10.9,2008,Jefferson City,MO
2008-07-30,25.3,21.3,25.2,13.0,2008,Jefferson City,MO
2008-07-31,31.0,19.6,0.0,6.2,2008,Jefferson City,MO
2008-08-01,33.3,21.3,0.0,8.9,2008,Jefferson City,MO
2008-08-02,32.7,24.1,0.0,11.9,2008,Jefferson City,MO
2008-08-03,35.4,23.3,0.0,15.2,2008,Jefferson City,MO
2008-08-04,37.7,25.3,0.0,13.7,2008,Jefferson City,MO
2008-08-05,35.1,26.1,0.8,14.3,2008,Jefferson City,MO
2008-08-06,30.4,23.0,10.3,8.9,2008,Jefferson City,MO
2008-08-07,29.3,21.7,0.0,10.5,2008,Jefferson City,MO
2008-08-08,27.7,19.0,0.0,10.7,2008,Jefferson City,MO
2008-08-09,27.6,18.2,0.0,8.2,2008,Jefferson City,MO
2008-08-10,29.0,19.3,0.0,13.5,2008,Jefferson City,MO
2008-08-11,27.3,18.6,0.0,12.0,2008,Jefferson City,MO
2008-08-12,26.7,18.1,0.0,10.1,2008,Jefferson City,MO
2008-08-13,27.3,19.7,0.3,9.4,2008,Jefferson City,MO
2008-08-14,28.3,17.6,0.7,5.7,2008,Jefferson City,MO
2008-08-15,26.6,18.0,2.9,12.2,2008,Jefferson City,MO
2008-08-16,27.5,17.6,0.0,10.7,2008,Jefferson City,MO
2008-08-17,27.4,17.4,0.0,7.3,2008,Jefferson City,MO
2008-08-18,28.3,17.6,0.0,8.2,2008,Jefferson City,MO
2008-08-19,28.5,17.3,0.0,10.5,2008,Jefferson City,MO
2008-08-20,26.8,19.1,3.1,14.2,2008,Jefferson City,MO
2008-08-21,24.8,18.7,23.0,14.4,2008,Jefferson City,MO
2008-08-22,28.8,20.8,3.8,12.9,2008,Jefferson City,MO
2008-08-23,30.7,20.9,0.2,11.5,2008,Jefferson City,MO
2008-08-24,27.7,20.4,0.0,11.8,2008,Jefferson City,MO
2008-08-25,26.7,16.8,0.0,12.7,2008,Jefferson City,MO
2008-08-26,27.5,16.2,0.0,10.2,2008,Jefferson City,MO
2008-08-27,30.4,18.2,0.0,11.3,2008,Jefferson City,MO
2008-08-28,32.5,20.6,2.7,14.2,2008,Jefferson City,MO
2008-08-29,29.4,20.8,15.4,11.3,2008,Jefferson City,MO
2008-08-30,29.7,17.1,0.0,12.2,2008,Jefferson City,MO
2008-08-31,30.4,17.6,0.0,11.3,2008,Jefferson City,MO
2008-09-01,32.2,21.0,0.0,11.7,2008,Jefferson City,MO
2008-09-02,30.7,22.1,1.0,9.4,2008,Jefferson City,MO
2008-09-03,23.5,17.9,28.1,20.1,2008,Jefferson City,MO
2008-09-04,20.0,17.3,70.0,20.6,2008,Jefferson City,MO
2008-09-05,22.9,15.1,0.0,11.4,2008,Jefferson City,MO
2008-09-06,22.3,14.1,0.0,6.5,2008,Jefferson City,MO
2008-09-07,23.6,16.6,1.9,8.7,2008,Jefferson City,MO
2008-09-08,27.7,16.2,1.5,17.7,2008,Jefferson City,MO
2008-09-09,20.8,13.3,0.0,12.1,2008,Jefferson City,MO
2008-09-10,24.9,13.3,0.0,12.2,2008,Jefferson City,MO
2008-09-11,26.9,18.6,6.9,12.1,2008,Jefferson City,MO
2008-09-12,27.6,20.4,12.6,14.8,2008,Jefferson City,MO
2008-09-13,27.4,22.6,15.5,22.3,2008,Jefferson City,MO
2008-09-14,22.0,15.8,69.4,28.2,2008,Jefferson City,MO
2008-09-15,17.4,14.4,0.0,13.8,2008,Jefferson City,MO
2008-09-16,22.1,11.6,0.0,7.8,2008,Jefferson City,MO
2008-09-17,25.2,11.7,0.0,7.2,2008,Jefferson City,MO
2008-09-18,25.5,14.3,0.0,9.7,2008,Jefferson City,MO
2008-09-19,26.1,16.0,0.1,10.4,2008,Jefferson City,MO
2008-09-20,23.0,15.9,2.7,10.7,2008,Jefferson City,MO
2008-09-21,23.4,15.7,1.0,10.7,2008,Jefferson City,MO
2008-09-22,25.9,15.9,0.0,11.0,2008,Jefferson City,MO
2008-09-23,26.9,15.7,0.0,10.5,2008,Jefferson City,MO
2008-09-24,27.4,16.3,0.0,10.0,2008,Jefferson City,MO
2008-09-25,27.3,17.3,0.0,9.0,2008,Jefferson City,MO
2008-09-26,27.3,15.9,0.0,7.6,2008,Jefferson City,MO
2008-09-27,27.1,13.8,0.0,6.6,2008,Jefferson City,MO
2008-09-28,27.2,14.8,0.0,9.4,2008,Jefferson City,MO
2008-09-29,26.2,16.9,2.9,14.0,2008,Jefferson City,MO
2008-09-30,19.3,11.9,0.0,17.1,2008,Jefferson City,MO
2008-10-01,20.3,11.4,0.0,14.3,2008,Jefferson City,MO
