time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,15.4,4.6,0.0,11.5,2000,Phoenix,AZ
2000-01-02,13.7,3.6,1.5,21.3,2000,Phoenix,AZ
2000-01-03,13.9,-1.0,0.0,12.7,2000,Phoenix,AZ
2000-01-04,17.3,-0.5,0.0,13.0,2000,Phoenix,AZ
2000-01-05,17.2,0.3,0.0,9.4,2000,Phoenix,AZ
2000-01-06,17.4,3.4,0.0,21.9,2000,Phoenix,AZ
2000-01-07,17.3,-0.0,0.0,17.5,2000,Phoenix,AZ
2000-01-08,17.3,0.3,0.0,9.5,2000,Phoenix,AZ
2000-01-09,17.1,-0.7,0.0,8.4,2000,Phoenix,AZ
2000-01-10,19.4,0.5,0.0,8.4,2000,Phoenix,AZ
2000-01-11,20.9,1.5,0.0,8.5,2000,Phoenix,AZ
2000-01-12,21.9,3.3,0.0,7.7,2000,Phoenix,AZ
2000-01-13,24.8,3.1,0.0,12.6,2000,Phoenix,AZ
2000-01-14,26.7,8.1,0.0,14.8,2000,Phoenix,AZ
2000-01-15,27.4,6.9,0.0,11.5,2000,Phoenix,AZ
2000-01-16,25.8,6.3,0.0,10.8,2000,Phoenix,AZ
2000-01-17,27.4,8.1,0.0,9.8,2000,Phoenix,AZ
2000-01-18,27.5,11.3,0.0,11.1,2000,Phoenix,AZ
2000-01-19,25.9,8.5,0.0,10.2,2000,Phoenix,AZ
2000-01-20,24.8,9.0,0.0,7.8,2000,Phoenix,AZ
2000-01-21,23.6,10.5,0.0,8.3,2000,Phoenix,AZ
2000-01-22,21.4,11.2,0.0,7.2,2000,Phoenix,AZ
2000-01-23,22.2,6.1,0.0,8.7,2000,Phoenix,AZ
2000-01-24,23.8,8.4,0.0,7.9,2000,Phoenix,AZ
2000-01-25,24.9,8.2,0.0,8.6,2000,Phoenix,AZ
2000-01-26,20.6,11.4,0.0,28.6,2000,Phoenix,AZ
2000-01-27,19.4,5.4,0.0,11.0,2000,Phoenix,AZ
2000-01-28,19.0,3.5,0.0,8.4,2000,Phoenix,AZ
2000-01-29,19.7,3.6,0.0,12.1,2000,Phoenix,AZ
2000-01-30,20.1,4.5,0.0,7.6,2000,Phoenix,AZ
2000-01-31,19.7,8.2,0.0,9.8,2000,Phoenix,AZ
2000-02-01,21.4,6.5,0.0,15.3,2000,Phoenix,AZ
2000-02-02,22.6,5.0,0.0,15.8,2000,Phoenix,AZ
2000-02-03,24.5,4.4,0.0,12.2,2000,Phoenix,AZ
2000-02-04,24.2,4.3,0.0,8.7,2000,Phoenix,AZ
2000-02-05,24.2,7.1,0.0,9.7,2000,Phoenix,AZ
2000-02-06,24.1,6.4,0.0,9.7,2000,Phoenix,AZ
2000-02-07,27.0,6.0,0.0,13.0,2000,Phoenix,AZ
2000-02-08,27.5,8.5,0.0,14.8,2000,Phoenix,AZ
2000-02-09,25.9,9.4,0.0,11.2,2000,Phoenix,AZ
2000-02-10,23.8,10.0,0.0,14.3,2000,Phoenix,AZ
2000-02-11,20.4,8.4,0.0,12.6,2000,Phoenix,AZ
2000-02-12,20.3,7.5,0.0,23.6,2000,Phoenix,AZ
2000-02-13,20.2,7.6,0.0,9.2,2000,Phoenix,AZ
2000-02-14,22.9,8.1,0.0,7.6,2000,Phoenix,AZ
