time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,year,city,state_or_province
2000-01-01,11.8,3.3,0.0,14.2,2000,Sacramento,CA
2000-01-02,11.6,1.2,0.0,7.9,2000,Sacramento,CA
2000-01-03,14.0,1.4,0.0,11.4,2000,Sacramento,CA
2000-01-04,11.1,2.9,0.9,7.7,2000,Sacramento,CA
2000-01-05,14.6,4.8,0.0,26.0,2000,Sacramento,CA
2000-01-06,12.6,0.0,0.0,11.8,2000,Sacramento,CA
2000-01-07,15.2,1.6,0.0,8.2,2000,Sacramento,CA
2000-01-08,11.8,1.8,0.0,6.3,2000,Sacramento,CA
2000-01-09,12.3,2.3,0.0,10.6,2000,Sacramento,CA
2000-01-10,13.4,3.9,0.0,11.9,2000,Sacramento,CA
2000-01-11,12.2,7.2,8.4,26.3,2000,Sacramento,CA
2000-01-12,12.1,4.4,0.0,9.3,2000,Sacramento,CA
2000-01-13,16.4,5.0,0.0,12.6,2000,Sacramento,CA
2000-01-14,16.2,5.1,0.0,7.0,2000,Sacramento,CA
2000-01-15,15.9,8.6,1.0,23.2,2000,Sacramento,CA
2000-01-16,15.7,6.8,12.5,26.8,2000,Sacramento,CA
2000-01-17,12.9,5.9,2.0,6.6,2000,Sacramento,CA
2000-01-18,15.0,9.2,21.6,9.2,2000,Sacramento,CA
2000-01-19,15.0,8.8,9.4,11.4,2000,Sacramento,CA
2000-01-20,13.5,7.7,0.0,10.9,2000,Sacramento,CA
2000-01-21,14.2,6.2,2.6,8.4,2000,Sacramento,CA
2000-01-22,13.9,6.4,0.7,8.1,2000,Sacramento,CA
2000-01-23,12.1,8.3,32.9,20.9,2000,Sacramento,CA
2000-01-24,13.6,11.2,52.3,20.5,2000,Sacramento,CA
2000-01-25,15.1,7.9,3.6,9.9,2000,Sacramento,CA
2000-01-26,14.4,6.6,0.0,10.3,2000,Sacramento,CA
2000-01-27,14.5,4.0,0.0,9.7,2000,Sacramento,CA
